canonical_direction,fold,tau_D,p_value
1,1,7.660631515505116,0
1,2,6.78241614061171,0
1,3,7.762239154518331,0
1,4,7.341351790494466,0
1,5,8.347972669330751,0
1,6,6.765620279358517,0
1,7,7.069470496643247,0
1,8,7.6761965094309375,0
1,9,7.400883957587409,0
1,10,7.338875436434373,0
1,11,7.914172240835476,0
1,12,7.399728403186292,0
1,13,7.478097321984236,0
1,14,7.805561600703341,0
1,15,7.7587444494885105,0
2,1,4.727809950181156,0
2,2,4.51090202866581,0
2,3,4.805416784420296,0
2,4,4.951513460038367,0
2,5,5.045677430093791,0
2,6,4.524401286658128,0
2,7,5.231597511935217,0
2,8,4.6488766273976925,0
2,9,5.365090819426696,0
2,10,5.154994814631306,0
2,11,4.636438256979954,0
2,12,5.015390375319708,0
2,13,5.02803945407076,0
2,14,4.896764735720376,0
2,15,4.735605114183728,0
3,1,4.436711808823531,0
3,2,4.390339967391295,0
3,3,4.399092437446703,0
3,4,4.507885832534098,0
3,5,4.603911625799243,0
3,6,4.373079730019174,0
3,7,4.390892278878939,0
3,8,4.453214338182025,0
3,9,4.481265934249776,0
3,10,4.554135982470158,0
3,11,4.422413798060528,0
3,12,4.357009562073744,0
3,13,4.385700657129159,0
3,14,4.225797543158558,0
3,15,4.228605635443287,0
4,1,5.25610767092926,0
4,2,5.662429089673925,0
4,3,5.470917430466766,0
4,4,5.024023076832918,0
4,5,5.060218704337196,0
4,6,5.262705353953546,0
4,7,5.3692868333333355,0
4,8,5.626415531543062,0
4,9,5.350279552216565,0
4,10,4.665513562659844,0
4,11,5.61276806479115,0
4,12,5.7990651465260115,0
4,13,6.1722384152813605,0
4,14,5.393209543531568,0
4,15,5.094938230871718,0
5,1,4.307038735720366,0
5,2,4.447308705669217,0
5,3,4.393842490089514,0
5,4,4.3342631004901815,0
5,5,4.329042848998296,0
5,6,4.361766771046472,0
5,7,4.312270578324785,0
5,8,4.255264266304323,0
5,9,4.303162625053273,0
5,10,4.319758149989324,0
5,11,4.640426299925392,0
5,12,4.3962714753836245,0
5,13,4.280252643275778,0
5,14,4.519540658461212,0
5,15,4.305805640718239,0
