fold,cd,angle
1,1,0.9488245342099643
1,2,1.5103367362120708
1,3,1.5664510112731558
1,4,1.566689604674668
2,1,0.9788380365065624
2,2,1.4531295651363012
2,3,1.5591455356874235
2,4,1.5684613877133604
3,1,0.9620028627844551
3,2,1.5113424985059336
3,3,1.5632931026725694
3,4,1.5706200222649178
4,1,0.9558964315359179
4,2,1.4924278037596357
4,3,1.5380137819511666
4,4,1.491781761621389
5,1,0.9538989846198751
5,2,1.5011285658301894
5,3,1.568920156774038
5,4,1.547534067387375
6,1,0.996605331931784
6,2,1.4809843792584876
6,3,1.569479176423946
6,4,1.5543241919375659
7,1,0.9423655098078927
7,2,1.4953594659364555
7,3,1.534774303203426
7,4,1.4910838568095826
8,1,1.0100246335296745
8,2,1.4815715955706763
8,3,1.5609181555637721
8,4,1.534085800318603
9,1,0.9724804801258399
9,2,1.5515921386854847
9,3,1.5668524676086888
9,4,1.4988772905753198
10,1,0.9946726661846561
10,2,1.5605710802487174
10,3,1.5653100301498015
10,4,1.4723551742105023
11,1,0.9977516697643317
11,2,1.4814778527779073
11,3,1.5466802380358957
11,4,1.5517046595050772
12,1,0.9913775921442873
12,2,1.5466450067732063
12,3,1.5617445387700708
12,4,1.4856157338847427
13,1,1.0193723469093885
13,2,1.4929268823117876
13,3,1.5696479023291487
13,4,1.5147786971891748
14,1,0.978810280606411
14,2,1.497882347706543
14,3,1.5459883076045864
14,4,1.5172834824859707
15,1,0.988290973903989
15,2,1.4987609681814598
15,3,1.5484079714990149
15,4,1.5290532918682849
