fold,j,evr,method,split
1,1,0.017177106981019413,CCA,train
1,1,0.011063583179724978,CCA,test
1,1,0.03281349400855484,PCA,train
1,1,0.022571357991593557,PCA,test
1,2,0.025685521012822822,CCA,train
1,2,0.01434244518591523,CCA,test
1,2,0.05755841123125893,PCA,train
1,2,0.027920177085344288,PCA,test
1,3,0.032019773700548954,CCA,train
1,3,0.015239092289043878,CCA,test
1,3,0.0810078056489606,PCA,train
1,3,0.039887231292979004,PCA,test
1,4,0.041105788987790666,CCA,train
1,4,0.01636530918220902,CCA,test
1,4,0.099868476055682,PCA,train
1,4,0.048454461350423556,PCA,test
2,1,0.01714407663192528,CCA,train
2,1,0.009391180767124389,CCA,test
2,1,0.03279944056398002,PCA,train
2,1,0.022097443874120753,PCA,test
2,2,0.02586289362970173,CCA,train
2,2,0.011227374737524016,CCA,test
2,2,0.05714646654460825,PCA,train
2,2,0.03282563385355521,PCA,test
2,3,0.032043802794307935,CCA,train
2,3,0.01382886755154491,CCA,test
2,3,0.07989042153371313,PCA,train
2,3,0.04826504021972208,PCA,test
2,4,0.04124115118168547,CCA,train
2,4,0.017363286912589246,CCA,test
2,4,0.09854963811662339,PCA,train
2,4,0.05577803932523299,PCA,test
3,1,0.017001249323170868,CCA,train
3,1,0.01051424193806798,CCA,test
3,1,0.03306661327527162,PCA,train
3,1,0.01941296780469462,PCA,test
3,2,0.025509265194879532,CCA,train
3,2,0.012357159549470318,CCA,test
3,2,0.0578765650005501,PCA,train
3,2,0.02388155572331784,PCA,test
3,3,0.031596291680868555,CCA,train
3,3,0.013785885555280602,CCA,test
3,3,0.08008224791501373,PCA,train
3,3,0.04448246727008227,PCA,test
3,4,0.04060160186792543,CCA,train
3,4,0.016834910854042987,CCA,test
3,4,0.09877139032225052,PCA,train
3,4,0.053974933090075713,PCA,test
4,1,0.01690450128082182,CCA,train
4,1,0.01020859979288435,CCA,test
4,1,0.032601774491173074,PCA,train
4,1,0.022944747348075903,PCA,test
4,2,0.025781226130225803,CCA,train
4,2,0.011363565704928719,CCA,test
4,2,0.05754486251870564,PCA,train
4,2,0.026415980550260912,PCA,test
4,3,0.03226977529502932,CCA,train
4,3,0.01383429862256405,CCA,test
4,3,0.07982271151145957,PCA,train
4,3,0.04607213103786133,PCA,test
4,4,0.041120008798608054,CCA,train
4,4,0.01723628211163138,CCA,test
4,4,0.09866170693611068,PCA,train
4,4,0.05341454375740399,PCA,test
5,1,0.018066471030121756,CCA,train
5,1,0.012796896494257155,CCA,test
5,1,0.033341834956317366,PCA,train
5,1,0.01935589839893806,PCA,test
5,2,0.027181274240305486,CCA,train
5,2,0.01552823314021696,CCA,test
5,2,0.05782841949193619,PCA,train
5,2,0.027710619613932348,PCA,test
5,3,0.033555898344070516,CCA,train
5,3,0.017059938999978284,CCA,test
5,3,0.08206364237207506,PCA,train
5,3,0.03314689094048567,PCA,test
5,4,0.04254733060063437,CCA,train
5,4,0.018612239789747218,CCA,test
5,4,0.10099362981686731,PCA,train
5,4,0.04005344153386252,PCA,test
6,1,0.017451705526909608,CCA,train
6,1,0.009017695176695768,CCA,test
6,1,0.03368484712843263,PCA,train
6,1,0.013859534431785952,PCA,test
6,2,0.02598219942901282,CCA,train
6,2,0.010936525492258481,CCA,test
6,2,0.05840257228419992,PCA,train
6,2,0.020962235525859,PCA,test
6,3,0.031768913196624414,CCA,train
6,3,0.012168541248212397,CCA,test
6,3,0.08285004843036757,PCA,train
6,3,0.025540600089929335,PCA,test
6,4,0.04049985198639651,CCA,train
6,4,0.014831841114054582,CCA,test
6,4,0.10156818745972233,PCA,train
6,4,0.03354236397761882,PCA,test
7,1,0.01668997860839562,CCA,train
7,1,0.012221034486423572,CCA,test
7,1,0.03227886348319019,PCA,train
7,1,0.02184268953861727,PCA,test
7,2,0.025262352169805467,CCA,train
7,2,0.0148225133393536,CCA,test
7,2,0.057192776114415166,PCA,train
7,2,0.026650727393957536,PCA,test
7,3,0.03164733714039518,CCA,train
7,3,0.01673970194721844,CCA,test
7,3,0.07903581725480796,PCA,train
7,3,0.04708577405937336,PCA,test
7,4,0.040881810173242425,CCA,train
7,4,0.018057363918615996,CCA,test
7,4,0.09739166296991465,PCA,train
7,4,0.060805528628417226,PCA,test
8,1,0.01679344728502815,CCA,train
8,1,0.011318568774046299,CCA,test
8,1,0.033992051247379446,PCA,train
8,1,0.012059671257406054,PCA,test
8,2,0.02535251552913105,CCA,train
8,2,0.013978650437216291,CCA,test
8,2,0.058901154695110154,PCA,train
8,2,0.017242044522447666,PCA,test
8,3,0.0317306872721302,CCA,train
8,3,0.01597053241023287,CCA,test
8,3,0.08251426804293746,PCA,train
8,3,0.028070750307719602,PCA,test
8,4,0.04059971183314018,CCA,train
8,4,0.017772977441754607,CCA,test
8,4,0.10136576320260345,PCA,train
8,4,0.03497261838524285,PCA,test
9,1,0.017549628265958166,CCA,train
9,1,0.005275506648740069,CCA,test
9,1,0.034049135919844424,PCA,train
9,1,0.010454941422811092,PCA,test
9,2,0.026163384049508635,CCA,train
9,2,0.010383504801551148,CCA,test
9,2,0.05840819732129284,PCA,train
9,2,0.014929860561877775,PCA,test
9,3,0.032232524129079565,CCA,train
9,3,0.012558281212133792,CCA,test
9,3,0.08228815496313177,PCA,train
9,3,0.028581921685724952,PCA,test
9,4,0.0408454254954461,CCA,train
9,4,0.014753048879217284,CCA,test
9,4,0.10112382165532499,PCA,train
9,4,0.03550906067580091,PCA,test
10,1,0.017249744455429376,CCA,train
10,1,0.009929171657569876,CCA,test
10,1,0.033782555805580226,PCA,train
10,1,0.014819760179663615,PCA,test
10,2,0.02573900090388919,CCA,train
10,2,0.01307530476413475,CCA,test
10,2,0.058131332191623454,PCA,train
10,2,0.019843935783294752,PCA,test
10,3,0.03229106672811424,CCA,train
10,3,0.014433547479389365,CCA,test
10,3,0.08207872062016544,PCA,train
10,3,0.03425677334650434,PCA,test
10,4,0.041287080015488704,CCA,train
10,4,0.01627109575078241,CCA,test
10,4,0.1013299532325686,PCA,train
10,4,0.037601864330360724,PCA,test
11,1,0.01710660378464429,CCA,train
11,1,0.01269574121665306,CCA,test
11,1,0.03368770104318072,PCA,train
11,1,0.013870116604398077,PCA,test
11,2,0.02579313373046755,CCA,train
11,2,0.014913339268593773,CCA,test
11,2,0.058489218428246594,PCA,train
11,2,0.017556877428517068,PCA,test
11,3,0.03216180370675679,CCA,train
11,3,0.016931711442178823,CCA,test
11,3,0.08200825668453214,PCA,train
11,3,0.03057019494563568,PCA,test
11,4,0.040901041443349044,CCA,train
11,4,0.019270579114563004,CCA,test
11,4,0.10026915363620188,PCA,train
11,4,0.043103931532532995,PCA,test
12,1,0.017127188078170024,CCA,train
12,1,0.008250204731371141,CCA,test
12,1,0.03420917642700381,PCA,train
12,1,0.010046500909655918,PCA,test
12,2,0.025590190915349302,CCA,train
12,2,0.013791924765770475,CCA,test
12,2,0.05821756427305896,PCA,train
12,2,0.01896048274470674,PCA,test
12,3,0.031988890779357564,CCA,train
12,3,0.015573930535521212,CCA,test
12,3,0.08069976379420885,PCA,train
12,3,0.04300139999102954,PCA,test
12,4,0.040550783737766306,CCA,train
12,4,0.017566128222917636,CCA,test
12,4,0.09971804580126009,PCA,train
12,4,0.04868237162089974,PCA,test
13,1,0.016406111344777596,CCA,train
13,1,0.01820800197620746,CCA,test
13,1,0.03350195550257136,PCA,train
13,1,0.01655128865690683,PCA,test
13,2,0.025132001303875037,CCA,train
13,2,0.02125068275595712,CCA,test
13,2,0.05794958173974548,PCA,train
13,2,0.025658027252432995,PCA,test
13,3,0.031456024105909385,CCA,train
13,3,0.02311350610637997,CCA,test
13,3,0.08126225622304864,PCA,train
13,3,0.04068407535439788,PCA,test
13,4,0.04026302695914897,CCA,train
13,4,0.025838274904625758,CCA,test
13,4,0.09933620523374462,PCA,train
13,4,0.05595087981959721,PCA,test
14,1,0.01751466467038836,CCA,train
14,1,0.00928421577536358,CCA,test
14,1,0.034077506267533614,PCA,train
14,1,0.009631627630769702,PCA,test
14,2,0.025939332122458462,CCA,train
14,2,0.012553849182029739,CCA,test
14,2,0.05827328974384642,PCA,train
