"canonical_direction","var","fold","value"
1,"2-01-FULL-59-12",1,-0.0871697967563629
1,"2-02-FULL-40-12",1,-0.00670402480629954
1,"2-02-FULL-51-18",1,0.0337119978643401
1,"2-12-FULL-35-15",1,-0.0244685210446447
1,"2-12-FULL-50-11",1,0.0111881349413351
1,"2-12-FULL-54-10",1,-0.0132637402631247
1,"4572-78",1,0.0521384049714333
1,"9FT-COMBO-53-11",1,0.00577094820786043
1,"AKYH767-A",1,-0.046579213363456
1,"ATCC43930_507931",1,-0.0906731597064595
1,"Abditibacteriales",1,0.0328552785410658
1,"Acetivibrionales",1,-0.04818836213825
1,"Acetobacterales",1,0.0255097221327373
1,"Acidiferrobacterales",1,0.0256588654062233
1,"Acidimicrobiales",1,0.0722773513352003
1,"Acidoferrales",1,-0.0894841472117992
1,"Acidothermales",1,-0.0949329591356071
1,"Actinomycetales",1,0.0413028167065456
1,"Aggregatilineales",1,0.0666509470703541
1,"Alicyclobacillales",1,-0.00854309884013978
1,"Anaerolineales",1,0.0327020483657212
1,"Ardenticatenales",1,0.022459856661757
1,"Armatimonadales",1,-0.00973922438162051
1,"Azospirillales_507929",1,0.0691422931526133
1,"B-17B0",1,-0.00791234542160725
1,"B15-G4",1,-0.00152998752856795
1,"Babeliales",1,0.0165977709686055
1,"Bacillales_A",1,-0.0530230609177723
1,"Bacillales_B_306087",1,-0.0298047054267434
1,"Bacillales_B_306089",1,-0.0629873946752989
1,"Bacillales_B_310392",1,0.0131640681423936
1,"Bacillales_D",1,0.00102228456875209
1,"Bacillales_G_286828",1,-0.0418070507374803
1,"Bacillales_K",1,-0.044873032835651
1,"Bacteriovoracales",1,-0.01301662945705
1,"Bacteroidales",1,-0.0181622123727812
1,"Baltobacterales",1,-0.0831207519796083
1,"Bdellovibrionales",1,-0.0744952888371267
1,"Berkiellales",1,0.0218473872318624
1,"Bin18",1,0.0927627872224959
1,"Binatales",1,0.0116910769943974
1,"Bryobacterales",1,-0.177483385939674
1,"Burkholderiales",1,-0.0235386380037374
1,"CACIAM-69d",1,0.0309643504632421
1,"CADDZG01",1,0.100303241720634
1,"CAILMK01",1,-0.00118271697792964
1,"CF-121",1,-0.0179405513013792
1,"CG2-30-53-67",1,0.108663674228663
1,"CG2-30-64-16",1,-0.00588300521201004
1,"CSP1-3",1,-0.0365997097575696
1,"Caedimonadales",1,0.0128083899372535
1,"Caldilineales",1,0.104214871758277
1,"Caulobacterales",1,-0.0937613823307856
1,"Chitinophagales",1,0.0467480080402881
1,"Chlamydiales_778129",1,0.118620098230505
1,"Chlamydiales_778489",1,-0.0218367945061875
1,"Chloroflexales",1,-3.01392148012274e-05
1,"Chromatiales_602961",1,0.114228872220923
1,"Chthoniobacterales",1,-0.0668096198929474
1,"Chthonomonadales",1,-0.0307137981705226
1,"Clostridiales",1,-0.0302903235224008
1,"Competibacterales",1,-0.0239044674173005
1,"Cyanobacteriales",1,0.0346233605557447
1,"Cytophagales_A",1,0.00356640593706952
1,"Cytophagales_B",1,0.10569103340044
1,"DP-6",1,-0.061288108335286
1,"DSM-13327",1,-0.022587458602927
1,"DSM-16000",1,-0.0210537427046178
1,"DSM-16500",1,-0.0210774783431256
1,"DSM-1736",1,-0.0105565057386997
1,"DSM-17781_985863",1,-0.00687867096003645
1,"DSM-5130",1,0.11042545960567
1,"DSM-8532",1,-0.00467004378686968
1,"DSTF01",1,0.169511134234663
1,"Deferrimicrobiales",1,-0.0334261175864305
1,"Dehalococcoidales",1,-0.0260838666353896
1,"Deinococcales",1,0.0470219473110381
1,"Desulfobaccales",1,-0.00595577015375427
1,"Desulfuromonadales",1,-0.0453712041567627
1,"Diplorickettsiales",1,0.0379225576759318
1,"Dongiales",1,-0.0685496161713024
1,"Dormibacterales",1,-0.0654078946868462
1,"Elainellales",1,0.0296607986843346
1,"Elsterales",1,-0.033107215137306
1,"Enterobacterales_737866",1,0.0313799752705024
1,"Entotheonellales",1,0.0800037758546096
1,"Eremiobacterales",1,-0.0561753138642473
1,"Euzebyales",1,0.0904149483111437
1,"Fen-1088",1,-0.0365804758600623
1,"Fen-336",1,0.0243562187030303
1,"Fibrobacterales",1,-0.0233813366205962
1,"Fimbriimonadales",1,0.011928561115401
1,"Flavobacteriales_B_877923",1,-0.0473919415695859
1,"GCA-2729495",1,0.00915419462272855
1,"GCF-001939115",1,0.0571385736023845
1,"GWA2-44-7",1,-0.0094761659730519
1,"Gaiellales",1,-0.0110362972420282
1,"Geminicoccales",1,0.133741050944363
1,"Gemmatales",1,0.0341502696881056
1,"Gemmatimonadales",1,0.063007556497718
1,"Geobacterales",1,-0.0461341098839036
1,"Gp22-AA2",1,-0.00445601552206122
1,"HRBIN30",1,-0.0113557553942253
1,"Haliangiales_463188",1,0.0157629273045997
1,"Holophagales",1,-0.0413213762539547
1,"Hydrogenedentiales",1,0.136093328363343
1,"IMCC26256",1,-0.116512558389138
1,"Ignavibacteriales",1,-0.0250283892636283
1,"Isosphaerales",1,0.00794977772057794
1,"J036",1,-0.0496146290267806
1,"J137",1,-0.0283037376302167
1,"Jiangellales",1,0.0197504417122983
1,"Kapaibacteriales",1,0.052492806396726
1,"Kiloniellales_507436",1,0.100207161253273
1,"Ktedonobacterales",1,-0.124090629247138
1,"LZORAL124-64-63",1,-0.0237417862424543
1,"Lactobacillales",1,0.0256894188892588
1,"Legionellales",1,0.0505618244674731
1,"Leptolyngbyales_30033",1,0.0180514903124855
1,"Leptospirillales",1,-0.00317219656028834
1,"Levybacterales",1,-0.00600179304454351
1,"Limisphaerales",1,-0.0330599484976885
1,"Limnocylindrales",1,0.0416055654133035
1,"Longimicrobiales",1,0.100155052765865
1,"MOL361",1,0.0116472139753074
1,"Magasanikbacterales",1,0.0183447858750621
1,"Methylacidiphilales",1,-0.0907741403757199
1,"Methylococcales",1,0.0702357623467195
1,"Methylomirabilales",1,-0.00241405806619654
1,"Micavibrionales",1,-0.0227040843069575
1,"Micropepsales",1,-0.148083086933329
1,"Miltoncostaeales",1,-0.00938011041478018
1,"Minwuiales",1,0.0313751105589919
1,"Moranbacterales",1,0.0541467807306245
1,"Motilibacterales",1,0.0270592096416214
1,"Multivoradales",1,0.114391211463198
1,"Mycobacteriales",1,-0.0314878239725648
1,"Mycoplasmatales",1,0.00559658742157662
1,"Myxococcales",1,-0.0429150715944776
1,"NS11-12g_892060",1,0.0712721874278865
1,"NS11-12g_966746",1,-0.0102195628186622
1,"Nannocystales",1,0.0153620085235043
1,"Nevskiales",1,-0.0407872024799072
1,"Nitriliruptorales",1,-0.0336083492873749
1,"Nitrosococcales",1,0.0969248582348524
1,"Nitrososphaerales",1,-0.00977229605986366
1,"Nitrospirales",1,-0.00523413053220727
1,"OLB7",1,0.0547032877687455
1,"Obscuribacterales",1,-0.0525704581561485
1,"Oligoflexales",1,0.0203048639076883
1,"Omnitrophales",1,0.0260743989051063
1,"Opitutales",1,-0.0118902866358998
1,"P2-11E",1,0.00372265213387727
1,"Paceibacterales",1,0.0153899445243793
1,"Paenibacillales",1,0.0128888959131702
1,"Palsa-1180",1,-0.0647158146951531
1,"Palsa-948",1,-0.0259141917509533
1,"Paracaedibacterales",1,-0.0475371488776101
1,"Peptostreptococcales",1,-0.0429577251707591
1,"Peribacterales",1,0.0264324015185231
1,"Phycisphaerales",1,0.0293481326568187
1,"Pirellulales",1,0.149010375941297
1,"Planctomycetales",1,0.0422999583832542
1,"Polarisedimenticolales",1,-0.05347912967168
1,"Polyangiales",1,0.0420390081580131
1,"Propionibacteriales",1,-0.0225334446096676
1,"Pseudomonadales_A_628887",1,0.00279189069355163
1,"Pseudomonadales_A_650611",1,-0.0454157518788727
1,"Pseudomonadales_A_650612",1,0.0884767293836362
1,"Pseudomonadales_A_660879",1,0.00482631037301099
1,"Puniceispirillales_A_508355",1,0.00644577844111682
1,"Pyrinomonadales",1,0.172138761134634
1,"QHBO01",1,0.0937260981765395
1,"QQUJ01",1,0.0449094138447362
