"canonical_direction","fold","train","test"
1,1,0.909566918224694,0.894214659464712
2,1,0.836258195777088,0.611849511907308
3,1,0.801348656783992,0.785354421745788
5,1,0.714276891266803,0.654284116312855
4,1,0.73050692589688,0.611164192220287
1,2,0.909123908949167,0.917330053321295
2,2,0.854449918972215,0.291201577876752
3,2,0.797057543715423,0.463545237577694
5,2,0.726263023834925,0.667279873963294
4,2,0.734964834135813,0.715268400257013
1,3,0.910598534759256,0.947196309480775
2,3,0.835788608584218,0.520858047211652
3,3,0.811970261810235,0.284676265303388
5,3,0.734659166437227,0.0269627451462203
4,3,0.746509655230458,0.615100290844144
1,4,0.910307583479173,0.902742615670659
2,4,0.839344656622284,0.765553320948644
3,4,0.811504700256061,0.852930828174729
5,4,0.717358322271426,0.650895947590497
4,4,0.741217610904525,0.19309134540816
1,5,0.923165005707652,0.669501424777303
2,5,0.83559331511649,0.340428006965965
3,5,0.809286516581475,0.550912331730026
5,5,0.744304597304991,-0.126473689395615
4,5,0.740877368640688,0.209072365821742
1,6,0.914921910973761,0.783446588444273
2,6,0.826996745861607,0.631077461718358
3,6,0.807801615325659,0.552094282652294
5,6,0.734545138639926,-0.112585420142849
4,6,0.745665892570782,0.593071259344555
1,7,0.904308466709478,0.954637255707163
2,7,0.834719811067589,0.84060561173468
3,7,0.815095304163053,0.614485172569777
5,7,0.71518189326314,0.681561726263763
4,7,0.735251745021942,0.205984549203442
1,8,0.906146006332604,0.940219798092744
2,8,0.835012967685636,0.648552313157113
3,8,0.791164736224387,0.713322829342032
5,8,0.728854487734111,0.498780522760989
4,8,0.733758828020703,0.78062399283541
1,9,0.912170311935894,0.844957260952877
2,9,0.84147075302657,0.681785186065059
3,9,0.818958864153466,-0.0299993972316118
5,9,0.723657223287438,0.51157186924673
4,9,0.736539393804141,0.593350666240498
1,10,0.910083406905428,0.915038856635228
2,10,0.833328603690927,0.783030030888558
3,10,0.819305420068681,0.0476480751107366
5,10,0.731100690620324,0.206764517463013
4,10,0.72776142862144,0.480935493776639
1,11,0.912022527770443,0.814296766086719
2,11,0.835558371030239,0.577815143635444
3,11,0.813981031436964,0.179565846427474
5,11,0.72131137155218,0.553482179102651
4,11,0.741517684249066,0.566748753452657
1,12,0.910195234736979,0.905167418599154
2,12,0.84867529182508,0.702803895531719
3,12,0.790101732281697,0.542908590027057
5,12,0.737800108812231,0.296546523638384
4,12,0.73138124497181,0.487446398301458
1,13,0.908752863904642,0.921253321000203
2,13,0.846104684041309,0.523319018884496
3,13,0.792718992590628,0.823232618832854
5,13,0.724332706664556,0.405328231565785
4,13,0.728138670708448,0.334510539544863
1,14,0.913519878419985,0.753871450649658
2,14,0.846570774367768,0.746862336070369
3,14,0.790026576835287,0.67655115944526
5,14,0.730089357976512,0.543076753078205
4,14,0.753377415362656,0.160061303232795
1,15,0.911888906922471,0.826879209648205
2,15,0.841151228485392,0.749510935187438
3,15,0.807268442307022,0.616702560289761
5,15,0.722049084733883,0.453969524708537
4,15,0.746528892418847,0.466956832801068
