"canonical_direction","var","fold","value"
1,"ph",1,0.927433421018931
1,"soil_c",1,-0.360325428352678
1,"soil_n",1,0.0957894720792596
1,"soil_p",1,0.00968394152736192
1,"clay_silt",1,-0.0276303017510222
2,"ph",1,0.443426263618129
2,"soil_c",1,0.282042888483061
2,"soil_n",1,0.573425240107756
2,"soil_p",1,0.532093013234056
2,"clay_silt",1,0.334492865491421
3,"ph",1,-0.2844101561119
3,"soil_c",1,-0.782982797280163
3,"soil_n",1,0.0834160356074488
3,"soil_p",1,0.534164602382573
3,"clay_silt",1,0.117297676143821
5,"ph",1,-0.101571831636898
5,"soil_c",1,-0.477071509957945
5,"soil_n",1,0.783572809952475
5,"soil_p",1,-0.384779163517517
5,"clay_silt",1,-0.00667714237631961
4,"ph",1,-0.0706190442094635
4,"soil_c",1,-0.125469813930117
4,"soil_n",1,0.242407253357212
4,"soil_p",1,0.387298815082971
4,"clay_silt",1,-0.877786208448517
1,"ph",2,0.929510371326379
1,"soil_c",2,-0.353208106956786
1,"soil_n",2,0.093989368071463
1,"soil_p",2,-0.020829842661588
1,"clay_silt",2,-0.0445715057062357
2,"ph",2,0.539579445456687
2,"soil_c",2,0.512423058268838
2,"soil_n",2,0.551584097472956
2,"soil_p",2,0.258903954267414
2,"clay_silt",2,0.273861931043193
3,"ph",2,-0.166686074064964
3,"soil_c",2,-0.729405998233235
3,"soil_n",2,0.133602251261682
3,"soil_p",2,0.62234746643786
3,"clay_silt",2,0.187127528520991
5,"ph",2,-0.161054103395852
5,"soil_c",2,-0.51345681906606
5,"soil_n",2,0.772637618111888
5,"soil_p",2,-0.248915856077283
5,"clay_silt",2,-0.226926592548391
4,"ph",2,-0.0119429441427749
4,"soil_c",2,0.109877155716283
4,"soil_n",2,-0.219953012172711
4,"soil_p",2,0.599426116183633
4,"clay_silt",2,-0.761638615361682
1,"ph",3,0.925190118179251
1,"soil_c",3,-0.373217772379159
1,"soil_n",3,0.0663976504477562
1,"soil_p",3,-0.00717201836498676
1,"clay_silt",3,-0.0164819225635681
2,"ph",3,0.494755860014303
2,"soil_c",3,0.284144014208428
2,"soil_n",3,0.525096152819812
2,"soil_p",3,0.482405626850032
2,"clay_silt",3,0.407477189114053
3,"ph",3,-0.296730103833204
3,"soil_c",3,-0.742445059217662
3,"soil_n",3,-0.0191339996177579
3,"soil_p",3,0.536519247007559
3,"clay_silt",3,0.269272291874763
5,"ph",3,-0.101493745917136
5,"soil_c",3,-0.52630236598262
5,"soil_n",3,0.782516843991342
5,"soil_p",3,-0.308918640423173
5,"clay_silt",3,-0.0702958147383775
4,"ph",3,-0.0872189809339132
4,"soil_c",3,-0.197350023774362
4,"soil_n",3,0.115611863128839
4,"soil_p",3,0.565030927702383
4,"clay_silt",3,-0.787921166948047
1,"ph",4,0.940657453423353
1,"soil_c",4,-0.334524308728781
1,"soil_n",4,0.0440563456940842
1,"soil_p",4,-0.0132464236566367
1,"clay_silt",4,-0.0337729603827643
2,"ph",4,0.55547139325876
2,"soil_c",4,0.447627732141479
2,"soil_n",4,0.439596504447481
2,"soil_p",4,0.465136123782502
2,"clay_silt",4,0.285454452267246
3,"ph",4,-0.219680316228393
3,"soil_c",4,-0.73002193793248
3,"soil_n",4,0.0222176415373104
3,"soil_p",4,0.628414239184738
3,"clay_silt",4,0.153004735853126
5,"ph",4,-0.101653896296111
5,"soil_c",4,-0.529274038053178
5,"soil_n",4,0.798693598750539
5,"soil_p",4,-0.214628877767107
5,"clay_silt",4,-0.159870129023678
4,"ph",4,-0.0401677375722549
4,"soil_c",4,0.0989531133533165
4,"soil_n",4,-0.155865699533283
4,"soil_p",4,0.52743545830197
4,"clay_silt",4,-0.828319114382134
1,"ph",5,0.939333011638644
1,"soil_c",5,-0.331543518610393
1,"soil_n",5,0.0602514473124619
1,"soil_p",5,-0.043716357730965
1,"clay_silt",5,-0.0468084573213753
2,"ph",5,0.4993591143307
2,"soil_c",5,0.13133171350599
2,"soil_n",5,0.637530646973583
2,"soil_p",5,0.495167763497818
2,"clay_silt",5,0.285930089575151
3,"ph",5,-0.275384213180487
3,"soil_c",5,-0.809083692336253
3,"soil_n",5,0.123398514787115
3,"soil_p",5,0.485306440340692
3,"clay_silt",5,0.137104264844971
5,"ph",5,-0.102871683329921
5,"soil_c",5,-0.452292652473905
5,"soil_n",5,0.775377811393231
5,"soil_p",5,-0.420554286389067
5,"clay_silt",5,-0.0822928616941465
4,"ph",5,-0.092399509850978
4,"soil_c",5,-0.118135900585863
4,"soil_n",5,0.103236457115368
4,"soil_p",5,0.463402487505865
4,"clay_silt",5,-0.867240801662208
1,"ph",6,0.935600758644517
1,"soil_c",6,-0.345664463619617
1,"soil_n",6,0.014614509467369
1,"soil_p",6,0.0519705402065766
1,"clay_silt",6,-0.0474634393826556
2,"ph",6,0.406905050101095
2,"soil_c",6,0.0640987637011029
2,"soil_n",6,0.734877078653481
2,"soil_p",6,0.439283765515084
2,"clay_silt",6,0.311937624083453
3,"ph",6,-0.311416627521599
3,"soil_c",6,-0.842743387076643
3,"soil_n",6,0.317426612834236
3,"soil_p",6,0.274115379818167
3,"clay_silt",6,0.130016812964273
5,"ph",6,0.0351459969170883
5,"soil_c",6,-0.248463019837888
5,"soil_n",6,0.648834999904611
5,"soil_p",6,-0.692824361600999
5,"clay_silt",6,0.189837913875738
4,"ph",6,-0.105619075045542
4,"soil_c",6,-0.310838853803681
4,"soil_n",6,0.583788341134181
4,"soil_p",6,0.0597629267557321
4,"clay_silt",6,-0.740164429903199
1,"ph",7,0.94439239642962
1,"soil_c",7,-0.324349407140581
1,"soil_n",7,0.0489366236690988
1,"soil_p",7,-0.0141808893063016
1,"clay_silt",7,-0.0180159067444302
2,"ph",7,0.4775431401579
2,"soil_c",7,0.296228170195429
2,"soil_n",7,0.529815112594581
2,"soil_p",7,0.535308552083922
2,"clay_silt",7,0.341968011666306
3,"ph",7,-0.235482380857745
3,"soil_c",7,-0.734988239546016
3,"soil_n",7,-0.0655278126862306
3,"soil_p",7,0.608759718707495
3,"clay_silt",7,0.171633466079159
5,"ph",7,-0.121451951170497
5,"soil_c",7,-0.560497464433416
5,"soil_n",7,0.756603575465582
5,"soil_p",7,-0.3137058067807
5,"clay_silt",7,-0.0152220992428169
4,"ph",7,-0.0906922065010849
4,"soil_c",7,-0.142345689773668
4,"soil_n",7,0.195124691823517
4,"soil_p",7,0.433065319319545
4,"clay_silt",7,-0.863651209763676
1,"ph",8,0.93072482890928
1,"soil_c",8,-0.353652118340867
1,"soil_n",8,0.0800147757708488
1,"soil_p",8,-0.0258792335516367
1,"clay_silt",8,-0.0401169910876766
2,"ph",8,0.568668335752075
2,"soil_c",8,0.422421391354672
2,"soil_n",8,0.561276500324631
2,"soil_p",8,0.365843099012298
2,"clay_silt",8,0.222045061028976
3,"ph",8,-0.20611570152377
3,"soil_c",8,-0.743932029424131
3,"soil_n",8,0.133764440160396
3,"soil_p",8,0.587895784486526
3,"clay_silt",8,0.20141269650597
5,"ph",8,-0.142011332870883
5,"soil_c",8,-0.502521179229106
5,"soil_n",8,0.775919689207062
5,"soil_p",8,-0.338603478313855
5,"clay_silt",8,-0.102963906962586
4,"ph",8,-0.0642220236430572
4,"soil_c",8,-0.093725053314917
4,"soil_n",8,0.0238206067539163
4,"soil_p",8,0.518086825635735
4,"clay_silt",8,-0.847413574269889
1,"ph",9,0.928432906348248
1,"soil_c",9,-0.352433005863377
1,"soil_n",9,0.0975779155250103
1,"soil_p",9,-0.0283990856430421
1,"clay_silt",9,-0.058952159623575
2,"ph",9,0.486396248962957
2,"soil_c",9,0.344563498167817
2,"soil_n",9,0.449898965706451
2,"soil_p",9,0.542364183573326
2,"clay_silt",9,0.384872313577149
3,"ph",9,-0.253982369325822
3,"soil_c",9,-0.780335045458073
3,"soil_n",9,0.0676631701199716
3,"soil_p",9,0.530718458619432
3,"clay_silt",9,0.200822772591952
5,"ph",9,-0.0989950986465136
5,"soil_c",9,-0.469268664969121
5,"soil_n",9,0.798706776848086
5,"soil_p",9,-0.360988713028028
5,"clay_silt",9,-0.0417315732434885
4,"ph",9,-0.0686192824400002
4,"soil_c",9,-0.159692510858578
4,"soil_n",9,0.186198321162605
4,"soil_p",9,0.486668809917045
4,"clay_silt",9,-0.835627519115579
1,"ph",10,0.932347474130865
1,"soil_c",10,-0.355077055696285
1,"soil_n",10,0.0667307722537493
1,"soil_p",10,-0.00291231444190531
1,"clay_silt",10,-0.0136745917256726
2,"ph",10,0.471575719587803
2,"soil_c",10,0.243623722928743
2,"soil_n",10,0.606191094863444
2,"soil_p",10,0.538822354166778
2,"clay_silt",10,0.245899673606971
3,"ph",10,-0.274537236890951
3,"soil_c",10,-0.756897936715999
3,"soil_n",10,0.0278462372516756
3,"soil_p",10,0.576547297525361
3,"clay_silt",10,0.136208001756399
5,"ph",10,-0.118734097922
