"canonical_direction","var","fold","value","seed"
1,"ph",1,0.936220764655617,0
1,"soil_c",1,-0.32053215611591,0
1,"soil_n",1,0.0910562493867481,0
1,"soil_p",1,-0.1061437736929,0
1,"clay_silt",1,0.0345264460549769,0
3,"ph",1,-0.495852798078309,0
3,"soil_c",1,-0.331805666554512,0
3,"soil_n",1,-0.56653073467957,0
3,"soil_p",1,-0.565785398503026,0
3,"clay_silt",1,-0.0544500852563764,0
2,"ph",1,-0.222263424144773,0
2,"soil_c",1,-0.809828234984723,0
2,"soil_n",1,0.360513891446867,0
2,"soil_p",1,0.397478741020436,0
2,"clay_silt",1,0.0825686660883861,0
4,"ph",1,-0.0752461174167408,0
4,"soil_c",1,-0.13471250007378,0
4,"soil_n",1,-0.0292123427065551,0
4,"soil_p",1,0.395011503302895,0
4,"clay_silt",1,-0.905153641891563,0
5,"ph",1,0.0682000773277151,0
5,"soil_c",1,0.294297569825529,0
5,"soil_n",1,-0.780662398936391,0
5,"soil_p",1,0.533499135156786,0
5,"clay_silt",1,0.121171702641838,0
1,"ph",2,0.941678098654174,0
1,"soil_c",2,-0.316977929005455,0
1,"soil_n",2,0.0724177971345157,0
1,"soil_p",2,-0.0856051930168301,0
1,"clay_silt",2,0.0139558097295605,0
3,"ph",2,-0.564837157598735,0
3,"soil_c",2,-0.526322007899994,0
3,"soil_n",2,-0.498731475003046,0
3,"soil_p",2,-0.373798496780804,0
3,"clay_silt",2,-0.124441669233415,0
2,"ph",2,-0.165085139889906,0
2,"soil_c",2,-0.791518677638825,0
2,"soil_n",2,0.357404997252568,0
2,"soil_p",2,0.456281773730336,0
2,"clay_silt",2,0.101556341194462,0
4,"ph",2,-0.0154620672227993,0
4,"soil_c",2,0.0477967963791982,0
4,"soil_n",2,-0.24094119486268,0
4,"soil_p",2,0.546420289614307,0
4,"clay_silt",2,-0.80053019833673,0
5,"ph",2,0.0962760103843441,0
5,"soil_c",2,0.364438682343358,0
5,"soil_n",2,-0.785327767959111,0
5,"soil_p",2,0.401016115288911,0
5,"clay_silt",2,0.28348147873761,0
1,"ph",3,0.917749945310036,0
1,"soil_c",3,-0.35362416430868,0
1,"soil_n",3,0.142551871203716,0
1,"soil_p",3,-0.0940793049472916,0
1,"clay_silt",3,0.0592708756251153,0
3,"ph",3,-0.501582449575804,0
3,"soil_c",3,-0.434129478479435,0
3,"soil_n",3,-0.442380897989334,0
3,"soil_p",3,-0.551325405619744,0
3,"clay_silt",3,-0.245532239034072,0
2,"ph",3,-0.243685875052548,0
2,"soil_c",3,-0.805120658514289,0
2,"soil_n",3,0.236933474732481,0
2,"soil_p",3,0.477011458961839,0
2,"clay_silt",3,0.0933837036301409,0
4,"ph",3,0.0314974644557451,0
4,"soil_c",3,-0.0343524576077269,0
4,"soil_n",3,-0.0450589444449104,0
4,"soil_p",3,0.47484888799402,0
4,"clay_silt",3,-0.877676502753447,0
5,"ph",3,0.072673149313932,0
5,"soil_c",3,0.388744528529806,0
5,"soil_n",3,-0.826588049028653,0
5,"soil_p",3,0.370051344676302,0
5,"clay_silt",3,0.153004916304019,0
1,"ph",4,0.939900344014164,0
1,"soil_c",4,-0.307696364187249,0
1,"soil_n",4,0.0918887579291538,0
1,"soil_p",4,-0.107490966556524,0
1,"clay_silt",4,0.0437314424983408,0
3,"ph",4,-0.477260921169776,0
3,"soil_c",4,-0.291735007954597,0
3,"soil_n",4,-0.597390692508637,0
3,"soil_p",4,-0.557589478720035,0
3,"clay_silt",4,-0.139036081585604,0
2,"ph",4,-0.220364328990448,0
2,"soil_c",4,-0.813991796121106,0
2,"soil_n",4,0.307823309558082,0
2,"soil_p",4,0.438943974987084,0
2,"clay_silt",4,-0.0378142204914214,0
4,"ph",4,0.0137725752779714,0
4,"soil_c",4,0.077279348920975,0
4,"soil_n",4,-0.0316275884285743,0
4,"soil_p",4,0.316655940280808,0
4,"clay_silt",4,-0.944757603587096,0
5,"ph",4,0.0745089298135078,0
5,"soil_c",4,0.348778480346709,0
5,"soil_n",4,-0.792162379301565,0
5,"soil_p",4,0.483950672996595,0
5,"clay_silt",4,0.105225956638622,0
1,"ph",5,0.935453142846608,0
1,"soil_c",5,-0.321692727903892,0
1,"soil_n",5,0.114044659150962,0
1,"soil_p",5,-0.0884268195820707,0
1,"clay_silt",5,0.0248136988354449,0
3,"ph",5,0.430217771956099,0
3,"soil_c",5,0.884057288807726,0
3,"soil_n",5,-0.0638299882807324,0
3,"soil_p",5,-0.16942293853018,0
3,"clay_silt",5,-0.0240203933136565,0
2,"ph",5,0.123290644572401,0
2,"soil_c",5,-0.442052400715787,0
2,"soil_n",5,0.584306508199545,0
2,"soil_p",5,0.664046841743001,0
2,"clay_silt",5,0.0837662726228832,0
4,"ph",5,-0.0512693548456545,0
4,"soil_c",5,-0.0487880708219338,0
4,"soil_n",5,-0.029816615248041,0
4,"soil_p",5,0.362755335060885,0
4,"clay_silt",5,-0.928714549115712,0
5,"ph",5,0.099956920446703,0
5,"soil_c",5,0.347165438352911,0
5,"soil_n",5,-0.798003118760517,0
5,"soil_p",5,0.465813797907154,0
5,"clay_silt",5,0.125272904475965,0
1,"ph",6,0.921424218760618,0
1,"soil_c",6,-0.353712682822358,0
1,"soil_n",6,0.0808498542752906,0
1,"soil_p",6,-0.121502141200643,0
1,"clay_silt",6,0.0675668397908153,0
3,"ph",6,-0.463240580715797,0
3,"soil_c",6,-0.10602930491037,0
3,"soil_n",6,-0.654716847538194,0
3,"soil_p",6,-0.534280180571735,0
3,"clay_silt",6,-0.245064254994886,0
2,"ph",6,-0.286952388541017,0
2,"soil_c",6,-0.849103187591699,0
2,"soil_n",6,0.25375751539257,0
2,"soil_p",6,0.362575832853378,0
2,"clay_silt",6,0.0287748561193616,0
4,"ph",6,0.0106428321990769,0
4,"soil_c",6,0.0712931741545404,0
4,"soil_n",6,-0.0887668619406621,0
4,"soil_p",6,0.464461232288627,0
4,"clay_silt",6,-0.878180062039608,0
5,"ph",6,0.0909948435524247,0
5,"soil_c",6,0.363184096639089,0
5,"soil_n",6,-0.784630561203453,0
5,"soil_p",6,0.462895945182167,0
5,"clay_silt",6,0.172914651648671,0
1,"ph",7,0.956691409764939,0
1,"soil_c",7,-0.266061613800526,0
1,"soil_n",7,0.0796891974965648,0
1,"soil_p",7,-0.0869592300011779,0
1,"clay_silt",7,0.00636303888011409,0
3,"ph",7,-0.464468018119301,0
3,"soil_c",7,-0.29050265945932,0
3,"soil_n",7,-0.649388469330348,0
3,"soil_p",7,-0.435387878945406,0
3,"clay_silt",7,-0.297673774054078,0
2,"ph",7,-0.204861544021376,0
2,"soil_c",7,-0.833962459152934,0
2,"soil_n",7,0.354318483584351,0
2,"soil_p",7,0.354669408457533,0
2,"clay_silt",7,0.105860225767933,0
4,"ph",7,-0.00561502421757996,0
4,"soil_c",7,0.0471129115098637,0
4,"soil_n",7,-0.15901409403161,0
4,"soil_p",7,0.579956195869589,0
4,"clay_silt",7,-0.797567660981738,0
5,"ph",7,0.0935031073341885,0
5,"soil_c",7,0.355454512378781,0
5,"soil_n",7,-0.779028835982592,0
5,"soil_p",7,0.441778817551235,0
5,"clay_silt",7,0.250708610979069,0
1,"ph",8,0.926032897745308,0
1,"soil_c",8,-0.347840972796063,0
1,"soil_n",8,0.12866195068099,0
1,"soil_p",8,-0.0524239904065017,0
1,"clay_silt",8,0.0465570361442577,0
3,"ph",8,-0.534900738175894,0
3,"soil_c",8,-0.63170940930431,0
3,"soil_n",8,-0.374877590150815,0
3,"soil_p",8,-0.352804873945689,0
3,"clay_silt",8,-0.223203798843497,0
2,"ph",8,-0.201824185130544,0
2,"soil_c",8,-0.769168487527581,0
2,"soil_n",8,0.407447358055859,0
2,"soil_p",8,0.423938623580928,0
2,"clay_silt",8,0.148018681052546,0
4,"ph",8,-0.0146889786053313,0
4,"soil_c",8,-0.0334568959766568,0
4,"soil_n",8,-0.112626896475516,0
4,"soil_p",8,0.587925290302997,0
4,"clay_silt",8,-0.800202415162295,0
5,"ph",8,0.0570186714835962,0
5,"soil_c",8,0.31645503042936,0
5,"soil_n",8,-0.799140156706841,0
5,"soil_p",8,0.440138401705537,0
5,"clay_silt",8,0.253492173648142,0
1,"ph",9,0.942560590850395,0
1,"soil_c",9,-0.285081063064807,0
1,"soil_n",9,0.123650072510457,0
1,"soil_p",9,-0.116625886156982,0
1,"clay_silt",9,0.0376481381193109,0
3,"ph",9,-0.46775630975235,0
3,"soil_c",9,-0.268749230263472,0
3,"soil_n",9,-0.553775440969116,0
3,"soil_p",9,-0.622035691554655,0
3,"clay_silt",9,-0.124025180230619,0
2,"ph",9,-0.237078708401216,0
2,"soil_c",9,-0.839041545353187,0
2,"soil_n",9,0.258954348120145,0
2,"soil_p",9,0.402161731157926,0
2,"clay_silt",9,0.104935974650628,0
4,"ph",9,-0.034762338866616,0
4,"soil_c",9,-0.0332006170875575,0
4,"soil_n",9,-0.228831060875517,0
4,"soil_p",9,0.548471870467853,0
4,"clay_silt",9,-0.802810221475541,0
5,"ph",9,0.104057947840436,0
5,"soil_c",9,0.373564375379628,0
5,"soil_n",9,-0.787739361833146,0
5,"soil_p",9,0.389968917642165,0
5,"clay_silt",9,0.277511336759728,0
1,"ph",10,0.93948691717891,0
1,"soil_c",10,-0.305321157638229,0
1,"soil_n",10,0.110426206242794,0
1,"soil_p",10,-0.0987285838130065,0
1,"clay_silt",10,0.0469259295189893,0
3,"ph",10,-0.51723517763144,0
3,"soil_c",10,-0.787130267212116,0
3,"soil_n",10,-0.323568414090455,0
3,"soil_p",10,-0.0389920596553089,0
3,"clay_silt",10,-0.0817117748306826,0
2,"ph",10,-0.0688680973189925,0
2,"soil_c",10,-0.662980839999151,0
2,"soil_n",10,0.422134980496464,0
2,"soil_p",10,0.613595040643727,0
2,"clay_silt",10,0.0318869143122274,0
4,"ph",10,-0.0083837084214711,0
4,"soil_c",10,0.0482340494130537,0
4,"soil_n",10,-0.131686220042453,0
4,"soil_p",10,0.423560896432286,0
4,"clay_silt",10,-0.894906752893692,0
5,"ph",10,0.126177438009225,0
5,"soil_c",10,0.406151452913671,0
5,"soil_n",10,-0.778439857475246,0
5,"soil_p",10,0.422305374293858,0
5,"clay_silt",10,0.186573874296444,0
1,"ph",11,0.933189133840374,0
1,"soil_c",11,-0.332701501652219,0
1,"soil_n",11,0.10236420058209,0
1,"soil_p",11,-0.0792325220581396,0
1,"clay_silt",11,0.0413706317102773,0
3,"ph",11,-0.547745731326121,0
3,"soil_c",11,-0.65091331140712,0
3,"soil_n",11,-0.365471444351181,0
3,"soil_p",11,-0.336993989181277,0
3,"clay_silt",11,-0.170740005466152,0
2,"ph",11,-0.177526665320562,0
2,"soil_c",11,-0.765875566226464,0
2,"soil_n",11,0.399652695256002,0
2,"soil_p",11,0.463017017381958,0
2,"clay_silt",11,0.0883847551718219,0
4,"ph",11,-0.0481135613603573,0
4,"soil_c",11,-0.10104761146029,0
4,"soil_n",11,0.0558387234029186,0
4,"soil_p",11,0.421890412001137,0
4,"clay_silt",11,-0.897978275161285,0
5,"ph",11,0.071373402304331,0
5,"soil_c",11,0.359178694064962,0
5,"soil_n",11,-0.797331189234336,0
5,"soil_p",11,0.46511405674758,0
5,"clay_silt",11,0.117594183798606,0
1,"ph",12,0.93005039509345,0
1,"soil_c",12,-0.339955277927743,0
