fold,cd,angle
1,1,1.0304421674060986
1,2,1.4512514886463934
1,3,1.3823222868524516
1,4,1.5648704734052574
2,1,1.0102235866137805
2,2,1.5149521947679965
2,3,1.3301799252369324
2,4,1.5381450959136096
3,1,1.0414888069025088
3,2,1.4561960622018189
3,3,1.3720713998800411
3,4,1.5675340246363363
4,1,1.0047360701894192
4,2,1.4956772377246526
4,3,1.3876165016807132
4,4,1.5696730343742538
5,1,1.0127772426539743
5,2,1.4729835715272261
5,3,1.380591250093807
5,4,1.5630779350033943
6,1,0.9076771965660899
6,2,1.5028817041808693
6,3,1.4155931305448943
6,4,1.522287104071747
7,1,1.0208597323143054
7,2,1.4427369406200883
7,3,1.3902736151650859
7,4,1.5571644555014517
8,1,1.0197106099790108
8,2,1.5278006317606503
8,3,1.3545477054784576
8,4,1.5506321348110943
9,1,0.9970623808157115
9,2,1.497250885217902
9,3,1.3793259170042904
9,4,1.562216391642139
10,1,1.0480965063841194
10,2,1.4740190407985998
10,3,1.3665221983174407
10,4,1.5619239067490411
11,1,1.0540110372511506
11,2,1.4787742655303595
11,3,1.3603378831077488
11,4,1.5475193334025499
12,1,1.0234974598525575
12,2,1.5617911375689308
12,3,1.3451304850949328
12,4,1.5571111771776147
13,1,1.051360248502586
13,2,1.4929557918183562
13,3,1.3586851745465138
13,4,1.5471268484010967
14,1,1.0156935213437885
14,2,1.5318779315316629
14,3,1.3550613412029235
14,4,1.5313443963341948
15,1,1.0152135789988812
15,2,1.492568070156218
15,3,1.3813038018809076
15,4,1.5458066459113904
