fold,j,evr,method,split
1,1,0.05718836076401049,CCA,train
1,1,0.05447157088155564,CCA,test
1,1,0.10800282132955147,PCA,train
1,1,0.06280176573510764,PCA,test
1,2,0.07932642364034842,CCA,train
1,2,0.0636451136277035,CCA,test
1,2,0.17761782536657292,PCA,train
1,2,0.0950029733973294,PCA,test
1,3,0.09861988479554763,CCA,train
1,3,0.08153966027418837,CCA,test
1,3,0.23196997699440444,PCA,train
1,3,0.1728030046864718,PCA,test
1,4,0.10916579282412817,CCA,train
1,4,0.09070569349866967,CCA,test
1,4,0.28257818852882827,PCA,train
1,4,0.18802529394885295,PCA,test
2,1,0.05687787949113489,CCA,train
2,1,0.04894868042164968,CCA,test
2,1,0.10179775382715173,PCA,train
2,1,0.1244746898072985,PCA,test
2,2,0.07824973887300649,CCA,train
2,2,0.06539572031721654,CCA,test
2,2,0.16923417026610374,PCA,train
2,2,0.17789802158276088,PCA,test
2,3,0.10085699196315544,CCA,train
2,3,0.07800324225728367,CCA,test
2,3,0.22765557339214987,PCA,train
2,3,0.21306418463625196,PCA,test
2,4,0.1113191826990739,CCA,train
2,4,0.08975032105434619,CCA,test
2,4,0.2789380036434884,PCA,train
2,4,0.23063627813335327,PCA,test
3,1,0.05592620614863607,CCA,train
3,1,0.06363860258185618,CCA,test
3,1,0.10603603427960231,PCA,train
3,1,0.08601442579201878,PCA,test
3,2,0.07797780656532793,CCA,train
3,2,0.07746826435969931,CCA,test
3,2,0.17555451350600598,PCA,train
3,2,0.1195997691699933,PCA,test
3,3,0.09823620015283756,CCA,train
3,3,0.08663110987135589,CCA,test
3,3,0.22725359255525518,PCA,train
3,3,0.19547164668043357,PCA,test
3,4,0.10785583178596514,CCA,train
3,4,0.095186523055313,CCA,test
3,4,0.2772143164901177,PCA,train
3,4,0.2426732712952974,PCA,test
4,1,0.05664544527143035,CCA,train
4,1,0.047647926280011035,CCA,test
4,1,0.10593556538300615,PCA,train
4,1,0.08907026772343025,PCA,test
4,2,0.07705661904709443,CCA,train
4,2,0.05833794154385673,CCA,test
4,2,0.17218471354934087,PCA,train
4,2,0.14852134401944345,PCA,test
4,3,0.09587250187509117,CCA,train
4,3,0.06882538452821757,CCA,test
4,3,0.2283309434310893,PCA,train
4,3,0.1972297845735529,PCA,test
4,4,0.10736093836027763,CCA,train
4,4,0.07384091505608066,CCA,test
4,4,0.2779608150692327,PCA,train
4,4,0.22884932314620676,PCA,test
5,1,0.059221538228414104,CCA,train
5,1,0.07388209114273754,CCA,test
5,1,0.10912272880517879,PCA,train
5,1,0.0537095459473857,PCA,test
5,2,0.08230401666686663,CCA,train
5,2,0.08497493365020967,CCA,test
5,2,0.17695104115508953,PCA,train
5,2,0.10669615659657619,PCA,test
5,3,0.10233395427892315,CCA,train
5,3,0.10137389457251621,CCA,test
5,3,0.23581222332430218,PCA,train
5,3,0.13303574244369054,PCA,test
5,4,0.11349001290392668,CCA,train
5,4,0.1057089894063522,CCA,test
5,4,0.2863953789238424,PCA,train
5,4,0.14946279298773893,PCA,test
6,1,0.06057385701635304,CCA,train
6,1,0.03187093624709682,CCA,test
6,1,0.10037477222686496,PCA,train
6,1,0.08016006939924891,PCA,test
6,2,0.08370433214930954,CCA,train
6,2,0.04647780489533714,CCA,test
6,2,0.16756848422495876,PCA,train
6,2,0.12375564403560167,PCA,test
6,3,0.10491898146969335,CCA,train
6,3,0.05555278210303643,CCA,test
6,3,0.2290287628736683,PCA,train
6,3,0.1483057950608352,PCA,test
6,4,0.11595369866724374,CCA,train
6,4,0.06506968922490466,CCA,test
6,4,0.2715123426649089,PCA,train
6,4,0.1651341904919742,PCA,test
7,1,0.05675657602479859,CCA,train
7,1,0.06491180014065277,CCA,test
7,1,0.10810778874592203,PCA,train
7,1,0.05909917271153756,PCA,test
7,2,0.07889703551959741,CCA,train
7,2,0.0739953862600844,CCA,test
7,2,0.1766696048332,PCA,train
7,2,0.10504637398398342,PCA,test
7,3,0.09797831569362081,CCA,train
7,3,0.08427608480112132,CCA,test
7,3,0.23108515441264674,PCA,train
7,3,0.1633858917347137,PCA,test
7,4,0.10967035863147631,CCA,train
7,4,0.08989528036353456,CCA,test
7,4,0.2814769719861488,PCA,train
7,4,0.19424772587842296,PCA,test
8,1,0.05752110403131458,CCA,train
8,1,0.04628463743633027,CCA,test
8,1,0.1087500102024688,PCA,train
8,1,0.06009003575692951,PCA,test
8,2,0.07934947361655827,CCA,train
8,2,0.05616376563337906,CCA,test
8,2,0.1776727431935862,PCA,train
8,2,0.10092233377214319,PCA,test
8,3,0.10098523429600682,CCA,train
8,3,0.06871087629862854,CCA,test
8,3,0.23676395237749973,PCA,train
8,3,0.1192762591063905,PCA,test
8,4,0.11140583748946029,CCA,train
8,4,0.07190257105865606,CCA,test
8,4,0.2856754288399548,PCA,train
8,4,0.1603902018599582,PCA,test
9,1,0.05884235573590253,CCA,train
9,1,0.023627785738333348,CCA,test
9,1,0.10878810131706723,PCA,train
9,1,0.04095838136062245,PCA,test
9,2,0.07871163130871371,CCA,train
9,2,0.05048634946346745,CCA,test
