"canonical_direction","var","fold","value"
1,"Acidobacteriota",1,-0.0793189363428011
1,"Actinomycetota",1,0.0376780435631495
1,"Armatimonadota",1,0.0141204232243333
1,"Bacillota_A_368345",1,-0.0402741482807865
1,"Bacillota_C",1,0.0083672578557037
1,"Bacillota_G",1,-0.0497891531377912
1,"Bacillota_I",1,-0.089092565106227
1,"Bacteroidota",1,0.0296469067471377
1,"Bdellovibrionota_461973",1,0.00175323558670225
1,"Bdellovibrionota_473306",1,-0.159655801094704
1,"CG2-30-53-67",1,0.218064234912889
1,"CSP1-3",1,-0.0936971372520433
1,"Chlamydiota",1,0.0659273026685182
1,"Chloroflexota",1,-0.0223100642347421
1,"Cyanobacteriota",1,0.144784263591107
1,"Deinococcota",1,0.206201312923756
1,"Dependentiae",1,-0.0155544580509284
1,"Desantisbacteria",1,0.0597168774295559
1,"Desulfobacterota_B",1,0.270831050264599
1,"Desulfobacterota_E",1,-0.115193096817054
1,"Desulfobacterota_G_459543",1,-0.112518771388224
1,"Desulfobacterota_G_459544",1,0.108660759408314
1,"Desulfobacterota_G_459546",1,-0.125675442361445
1,"Eisenbacteria",1,-0.131512915827802
1,"Elusimicrobiota",1,-0.213827557811
1,"Eremiobacterota",1,-0.297716694848189
1,"FCPU426",1,-0.151872987193546
1,"Fibrobacterota",1,-0.0218195511605132
1,"Gemmatimonadota",1,0.146948754241347
1,"Hydrogenedentota",1,0.316714799293015
1,"Krumholzibacteriota",1,0.00231186689664831
1,"Methylomirabilota",1,-0.0624643242764454
1,"Myxococcota_A_473307",1,-0.0397752222808806
1,"Nitrospirota_A_437815",1,0.0281697546424742
1,"Nitrospirota_A_437855",1,-0.0359195559994728
1,"Omnitrophota",1,0.109825775237849
1,"Patescibacteria",1,-0.203166840806606
1,"Planctomycetota",1,0.388189014075778
1,"Pseudomonadota",1,-0.0408007428137215
1,"Spirochaetota",1,-0.117433933615507
1,"Sumerlaeota",1,0.129368184050576
1,"Tectomicrobia",1,0.27624573829947
1,"Thermoproteota",1,-0.0850161279813249
1,"Thermosulfidibacterota",1,-0.0688925055578425
1,"Unassigned",1,-0.029853234197729
1,"Verrucomicrobiota",1,-0.261143681548625
3,"Acidobacteriota",1,-0.190199818957016
3,"Actinomycetota",1,0.422411684570507
3,"Armatimonadota",1,-0.119050103822187
3,"Bacillota_A_368345",1,0.138488120279472
3,"Bacillota_C",1,0.121428734302996
3,"Bacillota_G",1,0.0520652626610571
3,"Bacillota_I",1,-0.166071646410797
3,"Bacteroidota",1,-0.219535401773159
3,"Bdellovibrionota_461973",1,-0.126577802067595
3,"Bdellovibrionota_473306",1,-0.0799107701978925
3,"CG2-30-53-67",1,0.153517383011064
3,"CSP1-3",1,-0.0409477496604406
3,"Chlamydiota",1,-0.0287411188797683
3,"Chloroflexota",1,-0.195081415628177
3,"Cyanobacteriota",1,-0.098721291877721
3,"Deinococcota",1,-0.076398671205667
3,"Dependentiae",1,-0.0146306408327
3,"Desantisbacteria",1,-0.0474063374308028
3,"Desulfobacterota_B",1,-0.109433928775019
3,"Desulfobacterota_E",1,0.0556703051590228
3,"Desulfobacterota_G_459543",1,-0.0208042430812391
3,"Desulfobacterota_G_459544",1,0.0492294040544676
3,"Desulfobacterota_G_459546",1,0.0611184404188059
3,"Eisenbacteria",1,-0.105916734885267
3,"Elusimicrobiota",1,0.172459210220538
3,"Eremiobacterota",1,-0.0985618333491396
3,"FCPU426",1,-0.00743514920079414
3,"Fibrobacterota",1,0.0074208779771827
3,"Gemmatimonadota",1,-0.256760924141746
3,"Hydrogenedentota",1,-0.0603267318844909
3,"Krumholzibacteriota",1,-0.0291001523045203
3,"Methylomirabilota",1,-0.0370604844277822
3,"Myxococcota_A_473307",1,-0.0318206185589844
3,"Nitrospirota_A_437815",1,-0.273985294027039
3,"Nitrospirota_A_437855",1,-0.081556472859619
3,"Omnitrophota",1,-0.179572039511729
3,"Patescibacteria",1,0.0556787498091054
3,"Planctomycetota",1,-0.161460147331124
3,"Pseudomonadota",1,0.219950048487017
3,"Spirochaetota",1,-0.168881436698458
3,"Sumerlaeota",1,-0.191526660089589
3,"Tectomicrobia",1,-0.00392798115551471
3,"Thermoproteota",1,-0.166216844551633
3,"Thermosulfidibacterota",1,0.0210764551123753
3,"Unassigned",1,0.0805152794900029
3,"Verrucomicrobiota",1,-0.343064228443342
2,"Acidobacteriota",1,-0.331043531162002
2,"Actinomycetota",1,0.188882264273687
2,"Armatimonadota",1,-0.262871592731882
2,"Bacillota_A_368345",1,0.0805902880298046
2,"Bacillota_C",1,-0.00671178502914591
2,"Bacillota_G",1,-0.0290124910181735
2,"Bacillota_I",1,-0.135416626044612
2,"Bacteroidota",1,0.247829950828992
2,"Bdellovibrionota_461973",1,0.073214510615216
2,"Bdellovibrionota_473306",1,-0.123946487652031
2,"CG2-30-53-67",1,-0.09207338067652
2,"CSP1-3",1,0.090183244576362
2,"Chlamydiota",1,-0.13033308833275
2,"Chloroflexota",1,-0.0723237592589883
2,"Cyanobacteriota",1,-0.186850510402666
2,"Deinococcota",1,-0.134761325962274
2,"Dependentiae",1,0.0476750793068079
2,"Desantisbacteria",1,-0.205773119190202
2,"Desulfobacterota_B",1,0.14950744548529
2,"Desulfobacterota_E",1,0.103971204952074
2,"Desulfobacterota_G_459543",1,0.0831936113398118
2,"Desulfobacterota_G_459544",1,-0.063741020164273
2,"Desulfobacterota_G_459546",1,0.0906351815183646
2,"Eisenbacteria",1,0.0964275057211481
2,"Elusimicrobiota",1,-0.13115647897001
2,"Eremiobacterota",1,-0.160954007521312
2,"FCPU426",1,0.0962447173306875
2,"Fibrobacterota",1,-0.00942426613578392
2,"Gemmatimonadota",1,0.00383282635393174
2,"Hydrogenedentota",1,-0.160286829731802
2,"Krumholzibacteriota",1,0.243456136817203
2,"Methylomirabilota",1,0.210085951742618
2,"Myxococcota_A_473307",1,0.115974009976544
2,"Nitrospirota_A_437815",1,-0.0911943644524194
2,"Nitrospirota_A_437855",1,0.0611766069085413
2,"Omnitrophota",1,0.169747676159656
2,"Patescibacteria",1,-0.147460425970021
2,"Planctomycetota",1,0.0499585206933479
2,"Pseudomonadota",1,-0.278894801556456
2,"Spirochaetota",1,0.163656060185287
2,"Sumerlaeota",1,0.223606395302362
2,"Tectomicrobia",1,0.121727863067086
2,"Thermoproteota",1,-0.0845043790061607
2,"Thermosulfidibacterota",1,0.0322189861682086
2,"Unassigned",1,0.165251103025431
2,"Verrucomicrobiota",1,0.1207726511012
4,"Acidobacteriota",1,0.179102110403622
4,"Actinomycetota",1,0.00686599814823502
4,"Armatimonadota",1,-0.0989539849458324
4,"Bacillota_A_368345",1,-0.100907674858534
4,"Bacillota_C",1,0.00748199331549925
4,"Bacillota_G",1,-0.00877706524240937
4,"Bacillota_I",1,-0.165889652011819
4,"Bacteroidota",1,-0.174557990789935
4,"Bdellovibrionota_461973",1,-0.0795658374859404
4,"Bdellovibrionota_473306",1,0.0395690564061131
4,"CG2-30-53-67",1,0.00429483343368426
4,"CSP1-3",1,-0.037995653021638
4,"Chlamydiota",1,-0.0240852350204902
4,"Chloroflexota",1,0.0284271073994159
4,"Cyanobacteriota",1,-0.00176850743156109
4,"Deinococcota",1,-0.0114068707350692
4,"Dependentiae",1,0.0789690929498437
4,"Desantisbacteria",1,-0.0386529012746419
4,"Desulfobacterota_B",1,0.199700562932471
4,"Desulfobacterota_E",1,-0.302699850430513
4,"Desulfobacterota_G_459543",1,-0.169736456928979
4,"Desulfobacterota_G_459544",1,-0.0657071082968435
4,"Desulfobacterota_G_459546",1,-0.150123332778045
4,"Eisenbacteria",1,0.23638566678832
4,"Elusimicrobiota",1,0.12800419092504
4,"Eremiobacterota",1,-0.0655495181160515
4,"FCPU426",1,0.122423051496583
4,"Fibrobacterota",1,-0.1741530650974
4,"Gemmatimonadota",1,-0.189380009250128
4,"Hydrogenedentota",1,-0.113892372237373
4,"Krumholzibacteriota",1,0.0694694873576919
