"canonical_direction","var","fold","value"
1,"ph",1,0.951113062514834
1,"soil_c",1,-0.235576005419992
1,"soil_n",1,0.0554984176795595
1,"soil_p",1,-0.125166530130413
1,"clay_silt",1,-0.145399977146458
3,"ph",1,0.209479840230894
3,"soil_c",1,0.855207531016888
3,"soil_n",1,-0.297277535524089
3,"soil_p",1,-0.366653956310903
3,"clay_silt",1,-0.0439228712987226
2,"ph",1,0.530101197505209
2,"soil_c",1,0.273571330413123
2,"soil_n",1,0.271157468509063
2,"soil_p",1,0.556556296016686
2,"clay_silt",1,0.510754504841105
4,"ph",1,-0.0219129500972248
4,"soil_c",1,-0.297935717109516
4,"soil_n",1,0.83772429440744
4,"soil_p",1,-0.457040063279036
4,"clay_silt",1,-0.00930151632402086
5,"ph",1,-0.0266802589719879
5,"soil_c",1,0.00986243536476556
5,"soil_n",1,0.248579064279225
5,"soil_p",1,0.468343932867821
5,"clay_silt",1,-0.847380260271521
1,"ph",2,0.938080686549304
1,"soil_c",2,-0.208582398092306
1,"soil_n",2,0.0769810553630785
1,"soil_p",2,-0.212757841018493
1,"clay_silt",2,-0.159078681568544
3,"ph",2,0.2602318040526
3,"soil_c",2,0.88200907813499
3,"soil_n",2,-0.152623095836833
3,"soil_p",2,-0.355094954781453
3,"clay_silt",2,0.0703786754133129
2,"ph",2,0.4478923646388
2,"soil_c",2,-0.192376633753927
2,"soil_n",2,0.482613042656945
2,"soil_p",2,0.559152580122915
2,"clay_silt",2,0.465635805843004
4,"ph",2,-0.127840633575125
4,"soil_c",2,-0.367060491755562
4,"soil_n",2,0.816736515561928
4,"soil_p",2,-0.415512308075979
4,"clay_silt",2,-0.0959914255775409
5,"ph",2,-0.000306089358439743
5,"soil_c",2,0.0801675224106074
5,"soil_n",2,0.0692800302905299
5,"soil_p",2,0.559763071521939
5,"clay_silt",2,-0.821850750333123
1,"ph",3,0.935540946741082
1,"soil_c",3,-0.272706364895702
1,"soil_n",3,0.0263821380180317
1,"soil_p",3,-0.153062913707307
1,"clay_silt",3,-0.162080544042764
3,"ph",3,0.15448467472832
3,"soil_c",3,0.832669677036984
3,"soil_n",3,-0.337081722102275
3,"soil_p",3,-0.386477057315806
3,"clay_silt",3,-0.14073766734705
2,"ph",3,0.546686177175062
2,"soil_c",3,0.499978010999875
2,"soil_n",3,-0.0994190656972306
2,"soil_p",3,0.49744634752668
2,"clay_silt",3,0.440249012390239
4,"ph",3,0.081501198663632
4,"soil_c",3,-0.244354452293472
4,"soil_n",3,0.887043156812561
4,"soil_p",3,-0.382117356093796
4,"clay_silt",3,-0.0280930664869708
5,"ph",3,-0.0494686397607604
5,"soil_c",3,-0.0695230514113323
5,"soil_n",3,0.127232187540245
5,"soil_p",3,0.569241753783477
5,"clay_silt",3,-0.807771746971824
1,"ph",4,0.950440821639114
1,"soil_c",4,-0.163903706444004
1,"soil_n",4,-0.0259916408991911
1,"soil_p",4,-0.2029480234301
1,"clay_silt",4,-0.167135735152798
3,"ph",4,0.168205627416611
3,"soil_c",4,0.852171892416183
3,"soil_n",4,-0.237326270459324
3,"soil_p",4,-0.434294013111193
3,"clay_silt",4,-0.02397674304089
2,"ph",4,0.604815299035726
2,"soil_c",4,0.288120621736987
2,"soil_n",4,0.168631652238587
2,"soil_p",4,0.535278695090377
2,"clay_silt",4,0.486029881620302
4,"ph",4,0.000571541076234036
4,"soil_c",4,-0.341718428504583
4,"soil_n",4,0.864909491018701
4,"soil_p",4,-0.361882224624285
4,"clay_silt",4,-0.0648152513526399
5,"ph",4,0.00158725131326542
5,"soil_c",4,0.119571126405311
5,"soil_n",4,0.0556912154759319
5,"soil_p",4,0.536035765203278
5,"clay_silt",4,-0.833825145522239
1,"ph",5,0.947448963217424
1,"soil_c",5,-0.24835532634066
1,"soil_n",5,0.0436680282218641
1,"soil_p",5,-0.133935607782226
1,"clay_silt",5,-0.144272139568502
3,"ph",5,0.149218732598326
3,"soil_c",5,0.818311863445315
3,"soil_n",5,-0.334676597990095
3,"soil_p",5,-0.435728952253804
3,"clay_silt",5,-0.0789387035109112
2,"ph",5,0.618200646621617
2,"soil_c",5,0.451324871947307
2,"soil_n",5,0.227766494401824
2,"soil_p",5,0.37655847480316
2,"clay_silt",5,0.469531638508187
4,"ph",5,-0.0219890256216633
4,"soil_c",5,-0.298340655100073
4,"soil_n",5,0.830131636526697
4,"soil_p",5,-0.466413800247404
4,"clay_silt",5,-0.0620400615969319
5,"ph",5,-0.0163238795347019
5,"soil_c",5,0.0514730676695499
5,"soil_n",5,0.139054722839073
5,"soil_p",5,0.506084045421501
5,"clay_silt",5,-0.849486184282934
1,"ph",6,0.962083073876578
1,"soil_c",6,-0.226975240422796
1,"soil_n",6,-0.00202707987562299
1,"soil_p",6,-0.044893260413977
1,"clay_silt",6,-0.144426054823182
3,"ph",6,0.200144020809294
3,"soil_c",6,0.834228226561539
3,"soil_n",6,-0.419764652765578
3,"soil_p",6,-0.286748788058426
3,"clay_silt",6,-0.0746887259089075
2,"ph",6,-0.516548050183138
2,"soil_c",6,-0.225952565816746
2,"soil_n",6,-0.65842362553854
2,"soil_p",6,-0.198515661665956
2,"clay_silt",6,-0.457376662346079
4,"ph",6,-0.0447285150254475
4,"soil_c",6,-0.27842598651259
4,"soil_n",6,0.743316124718903
4,"soil_p",6,-0.585324490346194
4,"clay_silt",6,-0.159231622839027
5,"ph",6,-0.0596337816755726
5,"soil_c",6,0.00136197327815058
5,"soil_n",6,0.205146103551961
5,"soil_p",6,0.53113275540208
5,"clay_silt",6,-0.819911598557004
1,"ph",7,0.960987719719481
1,"soil_c",7,-0.149491488536809
1,"soil_n",7,0.0251154470747101
1,"soil_p",7,-0.211874511668242
1,"clay_silt",7,-0.0929155693464896
3,"ph",7,0.0684643385966979
3,"soil_c",7,0.817260421226087
3,"soil_n",7,-0.190669809283061
3,"soil_p",7,-0.530235167954558
3,"clay_silt",7,-0.0994672244009896
2,"ph",7,0.547095635720741
2,"soil_c",7,0.560072594471321
2,"soil_n",7,0.0672421860386016
2,"soil_p",7,0.417934508140457
2,"clay_silt",7,0.455866526101255
4,"ph",7,-0.0400626731268618
4,"soil_c",7,-0.406302764030133
4,"soil_n",7,0.832321232428904
4,"soil_p",7,-0.37388872390551
4,"clay_silt",7,0.0275977235971259
5,"ph",7,-0.00771505201546621
5,"soil_c",7,0.00222580372610584
5,"soil_n",7,0.259715088285007
5,"soil_p",7,0.440787791031064
5,"clay_silt",7,-0.859179678510402
1,"ph",8,0.943477352515393
1,"soil_c",8,-0.245107210517543
1,"soil_n",8,0.0615145508394874
1,"soil_p",8,-0.145385648976346
1,"clay_silt",8,-0.15764489763261
3,"ph",8,0.259317247258951
3,"soil_c",8,0.870153362182446
3,"soil_n",8,-0.254880643374265
3,"soil_p",8,-0.332576080822519
3,"clay_silt",8,-0.00408652107295657
2,"ph",8,0.527716039095427
2,"soil_c",8,0.07430038221752
2,"soil_n",8,0.297068345737329
2,"soil_p",8,0.651993490718039
2,"clay_silt",8,0.45016677054838
4,"ph",8,-0.0447481304716001
4,"soil_c",8,-0.319267350682685
4,"soil_n",8,0.846738563227317
4,"soil_p",8,-0.421119260698681
4,"clay_silt",8,-0.0419325341434446
5,"ph",8,-0.029348770334115
5,"soil_c",8,0.00625491537409584
5,"soil_n",8,0.126150241583439
5,"soil_p",8,0.513202976388508
5,"clay_silt",8,-0.848415197464045
1,"ph",9,0.935179044798737
1,"soil_c",9,-0.205386096586689
1,"soil_n",9,0.0906696494500308
1,"soil_p",9,-0.200716241123285
1,"clay_silt",9,-0.186410060662382
3,"ph",9,0.213649320732153
3,"soil_c",9,0.886196655739162
3,"soil_n",9,-0.280775264266712
3,"soil_p",9,-0.297604221565234
3,"clay_silt",9,-0.0400803366992474
2,"ph",9,0.496087638569842
2,"soil_c",9,0.153541992586713
2,"soil_n",9,0.119490971798356
2,"soil_p",9,0.641685473667079
2,"clay_silt",9,0.551619046003708
4,"ph",9,-0.0115347017480516
4,"soil_c",9,-0.274395487029891
4,"soil_n",9,0.852172995907084
4,"soil_p",9,-0.443024693528888
4,"clay_silt",9,0.0458734490047617
5,"ph",9,-0.0173798599511433
5,"soil_c",9,-0.0815728505188003
5,"soil_n",9,0.305070312154573
5,"soil_p",9,0.50418598771555
