"canonical_direction","var","fold","value"
1,"ph",1,0.881436412500876
1,"soil_c",1,-0.216373823380506
1,"soil_n",1,0.0505945548125344
1,"soil_p",1,-0.120027987478839
1,"clay_silt",1,-0.137948602429328
3,"ph",1,0.319165508845174
3,"soil_c",1,1.27402158133041
3,"soil_n",1,-0.436074776764365
3,"soil_p",1,-0.526339737041456
3,"clay_silt",1,-0.0581228424525228
2,"ph",1,0.457075410234725
2,"soil_c",1,0.197139085310939
2,"soil_n",1,0.268476167756734
2,"soil_p",1,0.480531600327256
2,"clay_silt",1,0.452258357561268
4,"ph",1,-0.0421344955309916
4,"soil_c",1,-0.459226153877261
4,"soil_n",1,1.28428381179619
4,"soil_p",1,-0.71319477882834
4,"clay_silt",1,-0.0233220427524516
5,"ph",1,-0.0275408468237689
5,"soil_c",1,0.00638374003583608
5,"soil_n",1,0.270373441689
5,"soil_p",1,0.511047642992889
5,"clay_silt",1,-0.907616474850854
1,"ph",2,0.872494203047514
1,"soil_c",2,-0.191528732382701
1,"soil_n",2,0.069396227360203
1,"soil_p",2,-0.19951935541529
1,"clay_silt",2,-0.150228562420014
3,"ph",2,0.360234985574451
3,"soil_c",2,1.21211469187855
3,"soil_n",2,-0.194146254026612
3,"soil_p",2,-0.49142612964335
3,"clay_silt",2,0.098550729074221
2,"ph",2,0.418827987289219
2,"soil_c",2,-0.199518085574403
2,"soil_n",2,0.469025459260377
2,"soil_p",2,0.516959933148807
2,"clay_silt",2,0.443695237154691
4,"ph",2,-0.207288483024543
4,"soil_c",2,-0.582686098600274
4,"soil_n",2,1.27283179956852
4,"soil_p",2,-0.645448720439881
4,"clay_silt",2,-0.161584948487444
5,"ph",2,0.00366443599493578
5,"soil_c",2,0.087550826046217
5,"soil_n",2,0.0715022090483002
5,"soil_p",2,0.618813445701368
5,"clay_silt",2,-0.888098276977864
1,"ph",3,0.844298108191404
1,"soil_c",3,-0.244854633682566
1,"soil_n",3,0.0226465243350431
