"canonical_direction","var","fold","value","seed"
2,"ph",1,-0.279307863467583,0
2,"soil_c",1,-0.580359347199365,0
2,"soil_n",1,0.104716641912941,0
2,"soil_p",1,0.296756240553297,0
2,"clay_silt",1,0.697237623857643,0
5,"ph",1,-0.29379956107014,0
5,"soil_c",1,0.0888983905884443,0
5,"soil_n",1,0.102029072195566,0
5,"soil_p",1,-0.910049291549106,0
5,"clay_silt",1,0.259189601341682,0
1,"ph",1,0.435094482473881,0
1,"soil_c",1,0.667709991231468,0
1,"soil_n",1,-0.41249851359096,0
1,"soil_p",1,-0.0936910745937129,0
1,"clay_silt",1,0.431188030628382,0
4,"ph",1,-0.390773375544006,0
4,"soil_c",1,0.365784636268484,0
4,"soil_n",1,-0.796023033650192,0
4,"soil_p",1,0.268926805619457,0
4,"clay_silt",1,-0.0867379499039284,0
3,"ph",1,-0.58566532147965,0
3,"soil_c",1,0.551731693412232,0
3,"soil_n",1,0.59247479235095,0
3,"soil_p",1,0.0286437840095572,0
3,"clay_silt",1,0.0272290977985055,0
2,"ph",2,0.233458162554018,0
2,"soil_c",2,-0.272511635741897,0
2,"soil_n",2,-0.164062444786704,0
2,"soil_p",2,0.779124143986553,0
2,"clay_silt",2,0.487117826803749,0
5,"ph",2,-0.691196871485001,0
5,"soil_c",2,-0.602559095965681,0
5,"soil_n",2,0.156744194182855,0
5,"soil_p",2,-0.180755808381209,0
5,"clay_silt",2,0.319261673310142,0
1,"ph",2,0.101854853742419,0
1,"soil_c",2,0.654312014576844,0
1,"soil_n",2,-0.40066167130277,0
1,"soil_p",2,-0.349312013501557,0
1,"clay_silt",2,0.52815974735099,0
4,"ph",2,-0.416590611842611,0
4,"soil_c",2,0.462232678107095,0
4,"soil_n",2,-0.606612137791108,0
4,"soil_p",2,0.420613092877937,0
4,"clay_silt",2,-0.260575428232788,0
3,"ph",2,-0.219361469356935,0
3,"soil_c",2,0.0850768688675531,0
3,"soil_n",2,0.968010443273111,0
3,"soil_p",2,-0.0633594682960285,0
3,"clay_silt",2,0.0598651120160964,0
2,"ph",3,-0.280512800472707,0
2,"soil_c",3,-0.581294612861407,0
2,"soil_n",3,-0.0889501980583461,0
2,"soil_p",3,0.521761175209558,0
2,"clay_silt",3,0.550692545926116,0
5,"ph",3,0.100512716149447,0
5,"soil_c",3,0.671340951307444,0
5,"soil_n",3,-0.242782480625471,0
5,"soil_p",3,-0.372397770197072,0
5,"clay_silt",3,0.584444256403866,0
1,"ph",3,0.371074973304204,0
1,"soil_c",3,0.512022321185692,0
1,"soil_n",3,-0.38606316391254,0
1,"soil_p",3,0.660330771788676,0
1,"clay_silt",3,-0.122698867532312,0
4,"ph",3,-0.669975786280855,0
4,"soil_c",3,0.387988835247886,0
4,"soil_n",3,-0.572751606156815,0
4,"soil_p",3,0.161475327311961,0
4,"clay_silt",3,-0.215588556826709,0
3,"ph",3,-0.268189569527655,0
3,"soil_c",3,-0.199968511140877,0
3,"soil_n",3,0.939434577870563,0
3,"soil_p",3,-0.0077768089129167,0
3,"clay_silt",3,-0.0740887609085312,0
2,"ph",4,-0.292132096954073,0
2,"soil_c",4,-0.521485344132956,0
2,"soil_n",4,-0.0890912425373768,0
2,"soil_p",4,0.498193319800433,0
2,"clay_silt",4,0.621754003117888,0
5,"ph",4,-0.253817401034784,0
5,"soil_c",4,-0.190235085953399,0
5,"soil_n",4,0.159192750461157,0
5,"soil_p",4,-0.851053590293132,0
5,"clay_silt",4,0.386979061002055,0
1,"ph",4,0.466891152220356,0
1,"soil_c",4,0.654374517336397,0
1,"soil_n",4,-0.274670719580937,0
1,"soil_p",4,-0.161893782834103,0
1,"clay_silt",4,0.502148426188572,0
4,"ph",4,-0.33365536345642,0
4,"soil_c",4,0.539780132213276,0
4,"soil_n",4,-0.764605629757965,0
4,"soil_p",4,0.102306733433072,0
4,"clay_silt",4,-0.0471494490027498,0
3,"ph",4,-0.593593676486263,0
3,"soil_c",4,0.261184939538488,0
3,"soil_n",4,0.741396517513294,0
3,"soil_p",4,-0.165171648495671,0
3,"clay_silt",4,0.0497845854274263,0
2,"ph",5,-0.21723389539045,0
2,"soil_c",5,-0.613092727094424,0
2,"soil_n",5,0.128113123920754,0
2,"soil_p",5,0.568296386257649,0
2,"clay_silt",5,0.487394078260267,0
5,"ph",5,-0.417240262512542,0
5,"soil_c",5,-0.152670267743071,0
5,"soil_n",5,0.0328029709215322,0
5,"soil_p",5,-0.764928503700841,0
5,"clay_silt",5,0.465199636726468,0
1,"ph",5,0.294488040397685,0
1,"soil_c",5,0.722024167651735,0
1,"soil_n",5,-0.434417234520302,0
1,"soil_p",5,-0.0397813153631826,0
1,"clay_silt",5,0.449062366146684,0
4,"ph",5,-0.499487836068106,0
4,"soil_c",5,0.347659215306796,0
4,"soil_n",5,-0.718509777746407,0
4,"soil_p",5,0.284173374201711,0
4,"clay_silt",5,-0.180649285384379,0
3,"ph",5,-0.484764722484474,0
3,"soil_c",5,0.118530632192744,0
3,"soil_n",5,0.84611681812282,0
3,"soil_p",5,-0.163779040335004,0
3,"clay_silt",5,-0.0906444102148541,0
2,"ph",6,-0.197760885282078,0
2,"soil_c",6,-0.611696161609177,0
2,"soil_n",6,0.151504265403407,0
2,"soil_p",6,0.485544928253947,0
2,"clay_silt",6,0.57272246187529,0
5,"ph",6,-0.369011381103555,0
5,"soil_c",6,0.0715737688078906,0
5,"soil_n",6,0.184964921601785,0
5,"soil_p",6,-0.763457818644207,0
5,"clay_silt",6,0.491556642883153,0
1,"ph",6,0.313592643225888,0
1,"soil_c",6,0.694736896019202,0
1,"soil_n",6,-0.550948102652741,0
1,"soil_p",6,0.0700414616902379,0
1,"clay_silt",6,0.332491625837172,0
4,"ph",6,-0.557102245608951,0
4,"soil_c",6,0.17738722781308,0
4,"soil_n",6,-0.7336616714698,0
4,"soil_p",6,0.27788352303311,0
4,"clay_silt",6,-0.206620809187026,0
3,"ph",6,-0.458156900422601,0
3,"soil_c",6,0.588852578256813,0
3,"soil_n",6,0.506916492319023,0
3,"soil_p",6,0.305880901900755,0
3,"clay_silt",6,-0.304659546613621,0
2,"ph",7,-0.193140891716105,0
2,"soil_c",7,-0.558399102167393,0
2,"soil_n",7,0.0119408694874754,0
2,"soil_p",7,0.509318723919231,0
2,"clay_silt",7,0.625570852699298,0
5,"ph",7,0.51428066985919,0
5,"soil_c",7,0.516461416493669,0
5,"soil_n",7,0.134255955438943,0
5,"soil_p",7,-0.355006338712765,0
5,"clay_silt",7,0.569849836172189,0
1,"ph",7,-0.531876484376367,0
1,"soil_c",7,0.220531225918411,0
1,"soil_n",7,-0.342396292495562,0
1,"soil_p",7,-0.640227688464907,0
1,"clay_silt",7,0.375960994746177,0
4,"ph",7,0.080861018516577,0
4,"soil_c",7,0.569088289189477,0
4,"soil_n",7,-0.752271648997285,0
4,"soil_p",7,0.321893186604311,0
4,"clay_silt",7,-0.00849454674977867,0
3,"ph",7,-0.698947747260872,0
3,"soil_c",7,0.462327542370959,0
3,"soil_n",7,0.434411059743575,0
3,"soil_p",7,0.263383314719958,0
3,"clay_silt",7,-0.199101860523136,0
2,"ph",8,-0.236981546195387,0
2,"soil_c",8,-0.791988463053319,0
2,"soil_n",8,0.249734109205033,0
2,"soil_p",8,0.322231205031843,0
2,"clay_silt",8,0.387806583694219,0
5,"ph",8,-0.506083757215762,0
5,"soil_c",8,-0.534931219910732,0
5,"soil_n",8,0.31271660267821,0
5,"soil_p",8,-0.430323322957549,0
5,"clay_silt",8,-0.418040649668624,0
1,"ph",8,-0.0536572042732046,0
1,"soil_c",8,0.255111211352486,0
1,"soil_n",8,0.0664522331393625,0
1,"soil_p",8,-0.732547296264225,0
1,"clay_silt",8,0.625298115876433,0
4,"ph",8,-0.260955252631006,0
4,"soil_c",8,0.317414024940503,0
4,"soil_n",8,-0.883433099848779,0
4,"soil_p",8,0.206142826878853,0
4,"clay_silt",8,0.0905637119012326,0
3,"ph",8,-0.854435282393937,0
3,"soil_c",8,0.333177931862941,0
3,"soil_n",8,0.271593918045329,0
3,"soil_p",8,0.267518817391443,0
3,"clay_silt",8,-0.116632928207251,0
2,"ph",9,0.0655823197174079,0
2,"soil_c",9,-0.264148305787811,0
2,"soil_n",9,-0.137535466913374,0
2,"soil_p",9,0.725347226289945,0
2,"clay_silt",9,0.617154784915678,0
5,"ph",9,-0.559667224744476,0
5,"soil_c",9,-0.73977397389181,0
5,"soil_n",9,0.213753247358196,0
5,"soil_p",9,-0.254833450720254,0
5,"clay_silt",9,0.169930946966613,0
1,"ph",9,0.217067489801723,0
1,"soil_c",9,0.505489377486687,0
1,"soil_n",9,-0.298578949426932,0
1,"soil_p",9,-0.530387653083894,0
1,"clay_silt",9,0.571753218210942,0
4,"ph",9,-0.381239993580776,0
4,"soil_c",9,0.460982645008506,0
4,"soil_n",9,-0.758606685237682,0
4,"soil_p",9,0.248500771501877,0
4,"clay_silt",9,-0.0701022964756498,0
3,"ph",9,-0.537483322489315,0
3,"soil_c",9,0.267317989809545,0
3,"soil_n",9,0.743921031836143,0
3,"soil_p",9,-0.266874344719304,0
3,"clay_silt",9,0.122524907233269,0
2,"ph",10,-0.176719372771963,0
2,"soil_c",10,-0.391813191479907,0
2,"soil_n",10,0.00870117302534132,0
2,"soil_p",10,0.353906986750613,0
2,"clay_silt",10,0.830618336293209,0
5,"ph",10,0.628967080631888,0
5,"soil_c",10,0.701989946190671,0
5,"soil_n",10,-0.150151505778458,0
5,"soil_p",10,-0.0275010716163083,0
5,"clay_silt",10,0.297167870573242,0
1,"ph",10,-0.129116830508266,0
1,"soil_c",10,0.19928965417052,0
1,"soil_n",10,0.0985148998028214,0
