"canonical_direction","var","fold","value","seed"
1,"ph",1,0.90148715207088,0
1,"soil_c",1,-0.342920703372864,0
1,"soil_n",1,-0.00918929946791698,0
1,"soil_p",1,-0.246308634604631,0
1,"clay_silt",1,0.0947307718953296,0
2,"ph",1,0.618834971678748,0
2,"soil_c",1,0.765984033843048,0
2,"soil_n",1,0.0862375859373434,0
2,"soil_p",1,0.142611713859867,0
2,"clay_silt",1,-0.0503658174414556,0
4,"ph",1,-0.00756939133898756,0
4,"soil_c",1,0.659286144578101,0
4,"soil_n",1,-0.683816899861743,0
4,"soil_p",1,-0.284269506628628,0
4,"clay_silt",1,-0.129883713169478,0
5,"ph",1,0.00293116651046302,0
5,"soil_c",1,0.148216045043113,0
5,"soil_n",1,0.369058144470748,0
5,"soil_p",1,-0.73961304046649,0
5,"clay_silt",1,0.542947556055268,0
3,"ph",1,0.0755471151389927,0
3,"soil_c",1,0.23090819517803,0
3,"soil_n",1,-0.648413604348682,0
3,"soil_p",1,0.418735317199763,0
3,"clay_silt",1,0.587532612387573,0
1,"ph",2,0.867080760080515,0
1,"soil_c",2,-0.459227634909104,0
1,"soil_n",2,-0.0201368290251552,0
1,"soil_p",2,-0.17562571254755,0
1,"clay_silt",2,0.0776598483320997,0
2,"ph",2,0.626480742265548,0
2,"soil_c",2,0.775624609547961,0
2,"soil_n",2,0.0551263918849846,0
2,"soil_p",2,0.0428320875437535,0
2,"clay_silt",2,-0.0324782670160857,0
4,"ph",2,-0.0539735825671327,0
4,"soil_c",2,0.63989480250473,0
4,"soil_n",2,-0.629312869556688,0
4,"soil_p",2,-0.398593292314239,0
4,"clay_silt",2,-0.180859596496079,0
5,"ph",2,-0.0437541954677896,0
5,"soil_c",2,-0.134755043161824,0
5,"soil_n",2,0.666808954594593,0
5,"soil_p",2,-0.70773462171577,0
5,"clay_silt",2,0.185483616577647,0
3,"ph",2,0.0668918687816867,0
3,"soil_c",2,0.318184306098614,0
3,"soil_n",2,-0.464770249167515,0
3,"soil_p",2,-0.0740761732051682,0
3,"clay_silt",2,0.82023506465859,0
1,"ph",3,0.895121410711195,0
1,"soil_c",3,-0.390370825658198,0
1,"soil_n",3,0.0717400404667336,0
1,"soil_p",3,-0.182414072808359,0
1,"clay_silt",3,0.0891445522543899,0
2,"ph",3,0.6197588337393,0
2,"soil_c",3,0.730122507698819,0
2,"soil_n",3,0.175719954794587,0
2,"soil_p",3,0.224946069741122,0
2,"clay_silt",3,0.0366316113309492,0
4,"ph",3,0.087312734758824,0
4,"soil_c",3,0.714955460713592,0
4,"soil_n",3,-0.526477328552747,0
4,"soil_p",3,-0.389209418109407,0
4,"clay_silt",3,-0.229244033553004,0
5,"ph",3,-0.0177355975076075,0
5,"soil_c",3,0.0116450921684805,0
5,"soil_n",3,0.525816683472176,0
5,"soil_p",3,-0.721309411807381,0
5,"clay_silt",3,0.450310324365151,0
3,"ph",3,0.0400491078284688,0
3,"soil_c",3,0.365412222570109,0
3,"soil_n",3,-0.713739464533536,0
3,"soil_p",3,0.159965774501447,0
3,"clay_silt",3,0.574331702341121,0
1,"ph",4,0.90131210816527,0
1,"soil_c",4,-0.390607595545587,0
1,"soil_n",4,-0.000663272982175067,0
1,"soil_p",4,-0.165819248245593,0
1,"clay_silt",4,0.0869811873739954,0
2,"ph",4,0.655513763564851,0
2,"soil_c",4,0.668125625551735,0
2,"soil_n",4,0.251242855121198,0
2,"soil_p",4,0.245948132584588,0
2,"clay_silt",4,0.0172162158109473,0
4,"ph",4,0.0925507027536817,0
4,"soil_c",4,0.729279002082246,0
4,"soil_n",4,-0.590884954995874,0
4,"soil_p",4,-0.332201515394402,0
4,"clay_silt",4,-0.00914481661434478,0
5,"ph",4,-0.0172023867988404,0
5,"soil_c",4,-0.139261326451221,0
5,"soil_n",4,0.703695239029995,0
5,"soil_p",4,-0.691932648545394,0
5,"clay_silt",4,0.0797030820416892,0
3,"ph",4,0.0279939333841779,0
3,"soil_c",4,0.120579738142571,0
3,"soil_n",4,-0.225400957221389,0
3,"soil_p",4,-0.100391712920164,0
3,"clay_silt",4,0.961141393814556,0
1,"ph",5,0.916219755820265,0
1,"soil_c",5,-0.331678692568564,0
1,"soil_n",5,0.0359120301634803,0
1,"soil_p",5,-0.217797434265877,0
1,"clay_silt",5,0.042487735376217,0
2,"ph",5,0.606699267751486,0
2,"soil_c",5,0.768307023186608,0
2,"soil_n",5,0.126140376370976,0
2,"soil_p",5,0.132061122126289,0
2,"clay_silt",5,-0.0909328439216387,0
4,"ph",5,0.00753934929838417,0
4,"soil_c",5,0.670680579491097,0
4,"soil_n",5,-0.652537529834238,0
4,"soil_p",5,-0.350260857937031,0
4,"clay_silt",5,-0.0405317413971885,0
5,"ph",5,-0.0767298589968922,0
5,"soil_c",5,-0.121577507620285,0
5,"soil_n",5,0.695113209016371,0
5,"soil_p",5,-0.701427030914775,0
5,"clay_silt",5,0.0644141702748885,0
3,"ph",5,0.129322659651743,0
3,"soil_c",5,0.211022843799422,0
3,"soil_n",5,-0.247268889249703,0
3,"soil_p",5,-0.0908477877648327,0
3,"clay_silt",5,0.932389288314092,0
1,"ph",6,0.798637103843057,0
1,"soil_c",6,-0.5254430557191,0
1,"soil_n",6,-0.00454951548655592,0
1,"soil_p",6,-0.270423265735859,0
1,"clay_silt",6,0.113749421182439,0
2,"ph",6,0.738579283733396,0
2,"soil_c",6,0.602370183459736,0
2,"soil_n",6,0.186199992343279,0
2,"soil_p",6,0.23751612515402,0
2,"clay_silt",6,0.0238003542353915,0
4,"ph",6,0.0822438641219877,0
4,"soil_c",6,0.720152715435626,0
4,"soil_n",6,-0.613326256589878,0
4,"soil_p",6,-0.207689150903321,0
4,"clay_silt",6,-0.235185315952089,0
5,"ph",6,0.0313342951722677,0
5,"soil_c",6,0.136232790029103,0
5,"soil_n",6,0.427102267543923,0
5,"soil_p",6,-0.778233507800035,0
5,"clay_silt",6,0.438628600598542,0
3,"ph",6,0.0734986767292071,0
3,"soil_c",6,0.299492835463922,0
3,"soil_n",6,-0.658447771229803,0
3,"soil_p",6,0.210178495169919,0
3,"clay_silt",6,0.653585127397685,0
1,"ph",7,0.886820359441084,0
1,"soil_c",7,-0.40966121884014,0
1,"soil_n",7,0.00131897598119717,0
1,"soil_p",7,-0.211577817588526,0
1,"clay_silt",7,0.0309906964432012,0
2,"ph",7,0.647709309837406,0
2,"soil_c",7,0.734390727927734,0
2,"soil_n",7,0.133558487658774,0
2,"soil_p",7,0.142010762553962,0
2,"clay_silt",7,0.0560176969971726,0
4,"ph",7,0.0344666816560029,0
4,"soil_c",7,0.67604007806481,0
4,"soil_n",7,-0.671996386533134,0
4,"soil_p",7,-0.147670469904286,0
4,"clay_silt",7,-0.261526575151373,0
5,"ph",7,0.00883531740054485,0
5,"soil_c",7,0.22788224655334,0
5,"soil_n",7,0.123431132023847,0
5,"soil_p",7,-0.748244885504967,0
5,"clay_silt",7,0.610643894455029,0
3,"ph",7,0.0774025503107793,0
3,"soil_c",7,0.221154442596088,0
3,"soil_n",7,-0.718567296138789,0
3,"soil_p",7,0.458031676841278,0
3,"clay_silt",7,0.467939720108432,0
1,"ph",8,0.852603723505714,0
1,"soil_c",8,-0.505661306617763,0
1,"soil_n",8,-0.0275277486269063,0
