fold,cd,angle
1,1,1.06863351970542
1,2,1.5313464941534598
1,3,1.2886939848335561
1,4,1.5316310277759562
2,1,1.0369108424163485
2,2,1.4603058451351678
2,3,1.2828836348853871
2,4,1.5433922741051247
3,1,1.0706078134924897
3,2,1.5685883005205705
3,3,1.2896722002583707
3,4,1.5360295038057163
4,1,1.0540814426495615
4,2,1.5667055655743616
4,3,1.3398185819402346
4,4,1.5457931614807805
5,1,1.0449009091396546
5,2,1.5357906048263534
5,3,1.2738828814840375
5,4,1.5666808186393557
6,1,1.0763000444843638
6,2,1.5229160600382445
6,3,1.2553932085330932
6,4,1.5293407073007224
7,1,1.0422413749846036
7,2,1.5601734753617331
7,3,1.3317519099228037
7,4,1.4825198702022246
8,1,1.0491209876280498
8,2,1.5313686575612404
8,3,1.2833132637792495
8,4,1.557084246106276
9,1,1.0426063392870764
9,2,1.5320091403396479
9,3,1.3098081783974869
9,4,1.5414829173651967
10,1,1.0813839086271408
10,2,1.5486145924628065
10,3,1.2718654540707623
10,4,1.551367408362136
11,1,1.0666451917023583
11,2,1.517509196653985
11,3,1.3132761343923771
11,4,1.5653137655631222
12,1,1.0734874099109262
12,2,1.5476837802137853
12,3,1.2908313872663388
12,4,1.5396699991469986
13,1,1.0809650778406332
13,2,1.4270584576488812
13,3,1.3353481653358314
13,4,1.5468788703061689
14,1,1.0412502374889625
14,2,1.5567504676996529
14,3,1.3155955056522213
14,4,1.5600932291738014
15,1,1.0530724543118353
15,2,1.5114769598184334
15,3,1.3154543294813699
15,4,1.5537037264882416
