fold,j,evr,method,split
1,1,0.06667218698552348,CCA,train
1,1,0.06217763314707301,CCA,test
1,1,0.14174918959948293,PCA,train
1,1,0.06446850377024996,PCA,test
1,2,0.10111377673096815,CCA,train
1,2,0.08675301344652689,CCA,test
1,2,0.22150522304501108,PCA,train
1,2,0.1505920608138568,PCA,test
1,3,0.1460163832854046,CCA,train
1,3,0.1584505088409697,CCA,test
1,3,0.29393271451767544,PCA,train
1,3,0.19058455855384634,PCA,test
1,4,0.1846437669597683,CCA,train
1,4,0.19151768071786684,CCA,test
1,4,0.36074299813710925,PCA,train
1,4,0.23169582949373535,PCA,test
2,1,0.06644640485584517,CCA,train
2,1,0.07819272994647647,CCA,test
2,1,0.1254174335550875,PCA,train
2,1,0.24863790657720558,PCA,test
2,2,0.10142823167913846,CCA,train
2,2,0.12015500208729292,CCA,test
2,2,0.20785962641532663,PCA,train
2,2,0.30139411410483097,PCA,test
2,3,0.153541122997808,CCA,train
2,3,0.1518726318821789,CCA,test
2,3,0.2813992949438292,PCA,train
2,3,0.34104870065966525,PCA,test
2,4,0.19000583208591798,CCA,train
2,4,0.19377464276342027,CCA,test
2,4,0.3494734748743823,PCA,train
2,4,0.3748270905512089,PCA,test
3,1,0.06718864269053638,CCA,train
3,1,0.061243109669368745,CCA,test
3,1,0.13808622622130942,PCA,train
3,1,0.12035697107938315,PCA,test
3,2,0.10338026761234467,CCA,train
3,2,0.11120664353406891,CCA,test
3,2,0.2187154178731023,PCA,train
3,2,0.18912278775566305,PCA,test
3,3,0.15090926722470271,CCA,train
3,3,0.13930073696651302,CCA,test
3,3,0.2923075342651246,PCA,train
3,3,0.21293862757223392,PCA,test
3,4,0.19214171738847283,CCA,train
3,4,0.17962287821979322,CCA,test
3,4,0.3568159457920408,PCA,train
3,4,0.28048417702638184,PCA,test
4,1,0.06486202864221724,CCA,train
4,1,0.06580015588157676,CCA,test
4,1,0.13801089634738817,PCA,train
4,1,0.1286866239121742,PCA,test
4,2,0.09946993424379809,CCA,train
4,2,0.08202478538756151,CCA,test
4,2,0.21680092543514448,PCA,train
4,2,0.22083283753535937,PCA,test
4,3,0.14386695035433772,CCA,train
4,3,0.1467251570563393,CCA,test
4,3,0.28991654721032434,PCA,train
4,3,0.24914927776390355,PCA,test
4,4,0.18184255347444198,CCA,train
4,4,0.17689137198889718,CCA,test
4,4,0.3557027948937135,PCA,train
4,4,0.3083953387474818,PCA,test
5,1,0.07160664619261156,CCA,train
5,1,0.06154159584529611,CCA,test
5,1,0.14359361120837016,PCA,train
5,1,0.05983149307225642,PCA,test
5,2,0.10750111153315257,CCA,train
5,2,0.10029714738970152,CCA,test
5,2,0.22668117504697904,PCA,train
5,2,0.09322470190145637,PCA,test
5,3,0.1557837127138299,CCA,train
5,3,0.13778359574776947,CCA,test
5,3,0.3014141144290988,PCA,train
5,3,0.10873701957488284,PCA,test
5,4,0.19384031490395467,CCA,train
5,4,0.16200360514998752,CCA,test
5,4,0.36642985903046377,PCA,train
5,4,0.16168574821939755,PCA,test
6,1,0.06915390076967165,CCA,train
6,1,0.040326271532203535,CCA,test
6,1,0.12962651990200785,PCA,train
6,1,0.13131286060762862,PCA,test
6,2,0.1070835252614015,CCA,train
6,2,0.07178504611726219,CCA,test
6,2,0.21751560974400527,PCA,train
6,2,0.1546967270241751,PCA,test
6,3,0.15748023349554424,CCA,train
6,3,0.09231540183176441,CCA,test
6,3,0.2970012953594849,PCA,train
6,3,0.16781250614088128,PCA,test
6,4,0.1888535331512275,CCA,train
6,4,0.10796229975900128,CCA,test
6,4,0.35863647695794704,PCA,train
6,4,0.21801932054139347,PCA,test
7,1,0.06834453877472384,CCA,train
7,1,0.08485261515037253,CCA,test
7,1,0.14753730551884162,PCA,train
7,1,0.04650499103293803,PCA,test
7,2,0.10480163628832284,CCA,train
7,2,0.11010487606328441,CCA,test
7,2,0.23128545311903154,PCA,train
7,2,0.09330570362465433,PCA,test
7,3,0.14903769312564594,CCA,train
7,3,0.13374732344961904,CCA,test
7,3,0.3035226785085494,PCA,train
7,3,0.10481886412056327,PCA,test
7,4,0.19090275579443544,CCA,train
7,4,0.15915959954481895,CCA,test
7,4,0.369179362872383,PCA,train
7,4,0.13551770697072515,PCA,test
8,1,0.06918642845135466,CCA,train
8,1,0.04722994804227196,CCA,test
8,1,0.13976700501159667,PCA,train
8,1,0.09790497654523417,PCA,test
8,2,0.10470563383157433,CCA,train
8,2,0.09158162708732877,CCA,test
8,2,0.22116235215376306,PCA,train
8,2,0.1571717016903138,PCA,test
