fold,cd,null_mean,null_sd
1,1,1.4654722619807512,0.07151109064922546
1,2,1.4660967355453858,0.07555152544785868
1,3,1.3783515099767012,0.102273511491429
1,4,1.4037670503812367,0.09967192794516809
2,1,1.4626126921161162,0.08151114874304383
2,2,1.4584747372509992,0.08578364388690847
2,3,1.3839038172782072,0.1052733363033993
2,4,1.4146439915502833,0.10794865956030956
3,1,1.4667833583746255,0.08152128742431232
3,2,1.475702837956773,0.07577127418837504
3,3,1.3940414567632222,0.10506471034166824
3,4,1.424178918753537,0.10477742000541353
4,1,1.4649017863213034,0.08753948774094863
4,2,1.466896909678971,0.08213302061662989
4,3,1.3520135344371362,0.1184339296377144
4,4,1.3840109716018654,0.10734246518357919
5,1,1.471324019246778,0.06781725817928812
5,2,1.4608690977058836,0.08435914489067974
5,3,1.4037275330750474,0.0969093831470123
5,4,1.410490459495664,0.11070221428958552
6,1,1.4498678823104205,0.08867917460006985
6,2,1.4555229373977279,0.09236222868233834
6,3,1.4423311831722492,0.10471943830529913
6,4,1.4595549607419331,0.08945259143152992
7,1,1.4607694752319325,0.08578465982390285
7,2,1.4651430204114892,0.07282602554126334
7,3,1.3438790023863425,0.11564159798551384
7,4,1.4102552973173335,0.09433164306487374
8,1,1.4718924931052393,0.06316148083679704
8,2,1.4540859577734995,0.0799436539695955
8,3,1.3838189643866412,0.10917337640530678
8,4,1.4163808803164681,0.08853147634663977
9,1,1.4679724994449357,0.0743726668227584
9,2,1.4678175685298844,0.07742052565948
9,3,1.3713512255226752,0.10829638368715065
9,4,1.390011123659614,0.11703798142749762
10,1,1.4775570269897313,0.06422227763517255
10,2,1.485506309588856,0.07552445847012368
10,3,1.3814972970367434,0.11262661920669544
10,4,1.4017567215407591,0.0945675459225139
11,1,1.4775155512318345,0.06381337829651018
11,2,1.4614175708152264,0.08164213680587383
11,3,1.3515813847141753,0.11171789652102598
11,4,1.3863141629745226,0.1103144329442639
12,1,1.4655101915956534,0.07450084165121908
12,2,1.4635213879120783,0.08312267754737666
12,3,1.3692490084262405,0.10438846836847833
12,4,1.3983362861823656,0.11313119461798501
13,1,1.4747870007182846,0.06978371495922944
13,2,1.4458844243970996,0.08843555172416087
13,3,1.4027098715131079,0.10336542506087543
13,4,1.3903134666507957,0.11355917527112896
14,1,1.4675604787080632,0.07023258965817077
14,2,1.4765138073967756,0.07304167964932419
14,3,1.3866999467843963,0.10102252038366172
14,4,1.4289191737127942,0.09925395291937643
15,1,1.4738862749434058,0.06629196798066737
15,2,1.468578423619012,0.07380440427172755
15,3,1.3791861571778499,0.11539359574333645
15,4,1.3788686985895962,0.11673484003097757
