"canonical_direction","var","fold","value","seed"
3,"ph",1,0.119312879570953,0
3,"soil_c",1,-0.298284223120695,0
3,"soil_n",1,0.321835946387437,0
3,"soil_p",1,0.851521318620673,0
3,"clay_silt",1,0.261005797930206,0
4,"ph",1,-0.366522435211532,0
4,"soil_c",1,-0.559066406695089,0
4,"soil_n",1,0.170320710123164,0
4,"soil_p",1,-0.279329686157071,0
4,"clay_silt",1,0.667886097718902,0
2,"ph",1,0.250046030007027,0
2,"soil_c",1,-0.820041566005424,0
2,"soil_n",1,0.412507002101251,0
2,"soil_p",1,0.0906601935011875,0
2,"clay_silt",1,-0.294325526301852,0
5,"ph",1,-0.715285470455976,0
5,"soil_c",1,-0.369319921690684,0
5,"soil_n",1,0.380240852281551,0
5,"soil_p",1,0.127036806905818,0
5,"clay_silt",1,-0.437319145641182,0
1,"ph",1,0.177684131028019,0
1,"soil_c",1,-0.0330801487872185,0
1,"soil_n",1,0.824063814684118,0
1,"soil_p",1,-0.530073207807265,0
1,"clay_silt",1,0.0852952345105468,0
3,"ph",2,0.363105435816246,0
3,"soil_c",2,-0.4705164434049,0
3,"soil_n",2,0.273158745476314,0
3,"soil_p",2,0.69503876902004,0
3,"clay_silt",2,0.298452891249545,0
4,"ph",2,-0.575684998892103,0
4,"soil_c",2,0.220033133542683,0
4,"soil_n",2,-0.0476292650395652,0
4,"soil_p",2,-0.159539577393141,0
4,"clay_silt",2,0.76970824248607,0
2,"ph",2,-0.214274480469767,0
2,"soil_c",2,-0.887682714143181,0
2,"soil_n",2,0.287039645299241,0
2,"soil_p",2,-0.236361400840488,0
2,"clay_silt",2,0.166875331460391,0
5,"ph",2,-0.384700015631206,0
5,"soil_c",2,-0.396937733358708,0
5,"soil_n",2,0.734240073302115,0
5,"soil_p",2,0.0656853034035053,0
5,"clay_silt",2,-0.38861715026938,0
1,"ph",2,0.421645243264506,0
1,"soil_c",2,0.050630780347893,0
1,"soil_n",2,0.636910692445399,0
1,"soil_p",2,-0.591262909324336,0
1,"clay_silt",2,0.253780918943533,0
3,"ph",3,-0.00981336441239734,0
3,"soil_c",3,-0.409434593567671,0
3,"soil_n",3,0.0557687552166031,0
3,"soil_p",3,0.664374794710706,0
3,"clay_silt",3,0.622706182371497,0
4,"ph",3,-0.504654450724592,0
4,"soil_c",3,0.239229569970927,0
4,"soil_n",3,-0.468991492431325,0
4,"soil_p",3,-0.433706146447311,0
4,"clay_silt",3,0.529187166110677,0
2,"ph",3,-0.0850672382539816,0
2,"soil_c",3,-0.965425793560436,0
2,"soil_n",3,0.224904778093401,0
2,"soil_p",3,-0.054848354493097,0
2,"clay_silt",3,-0.0844162360224651,0
5,"ph",3,-0.0908102338569222,0
5,"soil_c",3,-0.308076607408509,0
5,"soil_n",3,0.850299407453464,0
5,"soil_p",3,-0.400710658983084,0
5,"clay_silt",3,0.115170268976613,0
1,"ph",3,0.741775382943366,0
1,"soil_c",3,0.270207408336776,0
1,"soil_n",3,-0.0984594830395404,0
1,"soil_p",3,-0.402100534299155,0
1,"clay_silt",3,0.453186637330655,0
3,"ph",4,0.33594723215865,0
3,"soil_c",4,-0.582253704724579,0
3,"soil_n",4,0.351997517353311,0
3,"soil_p",4,0.633788801189142,0
3,"clay_silt",4,0.150098580285697,0
4,"ph",4,-0.483984712459462,0
4,"soil_c",4,0.157528001233321,0
4,"soil_n",4,-0.0298178363872997,0
4,"soil_p",4,-0.0390503723547932,0
4,"clay_silt",4,0.859377502605868,0
2,"ph",4,-0.185578013409105,0
2,"soil_c",4,-0.790053169769045,0
2,"soil_n",4,0.446657453040897,0
2,"soil_p",4,-0.356937918939925,0
2,"clay_silt",4,0.12028811887659,0
5,"ph",4,-0.197608242691741,0
5,"soil_c",4,-0.18171907182858,0
5,"soil_n",4,0.902237264307376,0
5,"soil_p",4,-0.153845895774491,0
5,"clay_silt",4,-0.30038062621036,0
1,"ph",4,0.630550735061246,0
1,"soil_c",4,0.294367216046906,0
1,"soil_n",4,0.255414230743238,0
1,"soil_p",4,-0.55057724998452,0
1,"clay_silt",4,0.383903601394726,0
3,"ph",5,0.311213471600287,0
3,"soil_c",5,-0.429360225131271,0
3,"soil_n",5,0.36018238575478,0
3,"soil_p",5,0.685816735769611,0
3,"clay_silt",5,0.344557725352417,0
4,"ph",5,-0.0586726026767098,0
4,"soil_c",5,-0.868399866273305,0
4,"soil_n",5,0.417017089348469,0
4,"soil_p",5,-0.245233234545023,0
4,"clay_silt",5,0.0916329952449613,0
2,"ph",5,0.412250039296371,0
2,"soil_c",5,-0.178259086963759,0
2,"soil_n",5,0.241512946914782,0
2,"soil_p",5,0.278941584640477,0
2,"clay_silt",5,-0.813717820774367,0
5,"ph",5,-0.679533683773548,0
5,"soil_c",5,-0.374145854713759,0
5,"soil_n",5,-0.174136851669162,0
5,"soil_p",5,0.527603742361078,0
5,"clay_silt",5,-0.299264932718485,0
1,"ph",5,-0.259366980387646,0
1,"soil_c",5,-0.228079768580184,0
1,"soil_n",5,0.886526540654637,0
1,"soil_p",5,-0.279536413599656,0
1,"clay_silt",5,-0.128990212170415,0
3,"ph",6,0.104829037104024,0
3,"soil_c",6,-0.480163301534965,0
3,"soil_n",6,0.218048382616427,0
3,"soil_p",6,0.746225271655484,0
3,"clay_silt",6,0.392500730725364,0
4,"ph",6,-0.397938064372941,0
4,"soil_c",6,0.351765700170078,0
4,"soil_n",6,-0.373465768703531,0
4,"soil_p",6,-0.279806950433866,0
4,"clay_silt",6,0.707204057682472,0
2,"ph",6,-0.267016857528322,0
2,"soil_c",6,-0.89139678126472,0
2,"soil_n",6,0.299855163959776,0
2,"soil_p",6,-0.193136383434795,0
2,"clay_silt",6,0.0830601841256176,0
5,"ph",6,-0.0138540793816742,0
5,"soil_c",6,-0.183654257234431,0
5,"soil_n",6,0.889604060779518,0
5,"soil_p",6,-0.406483008716537,0
5,"clay_silt",6,0.0972386597681156,0
1,"ph",6,0.778171854319472,0
1,"soil_c",6,0.125651857283975,0
1,"soil_n",6,-0.0646509266763199,0
1,"soil_p",6,-0.362331812058102,0
1,"clay_silt",6,0.493149157513897,0
3,"ph",7,0.448565257367734,0
3,"soil_c",7,-0.529203170225949,0
3,"soil_n",7,0.234454463035042,0
3,"soil_p",7,0.622625911024533,0
3,"clay_silt",7,-0.275864630188874,0
4,"ph",7,-0.290184764262158,0
4,"soil_c",7,-0.0724566754544076,0
4,"soil_n",7,0.284668215892865,0
4,"soil_p",7,0.620904370635442,0
4,"clay_silt",7,0.666321695698398,0
2,"ph",7,-0.362102495327309,0
2,"soil_c",7,-0.873560893149266,0
2,"soil_n",7,0.22019556360737,0
2,"soil_p",7,-0.0766307975082293,0
2,"clay_silt",7,0.226748282196091,0
5,"ph",7,-0.607033565878169,0
5,"soil_c",7,-0.0546536678782826,0
5,"soil_n",7,-0.161462415551743,0
5,"soil_p",7,0.438940856675732,0
5,"clay_silt",7,-0.64014376446987,0
1,"ph",7,-0.0706046478248345,0
1,"soil_c",7,-0.343064066300299,0
1,"soil_n",7,0.860993264222741,0
1,"soil_p",7,-0.330548458320072,0
1,"clay_silt",7,-0.163555329428081,0
3,"ph",8,0.253591467096104,0
3,"soil_c",8,-0.573498372652493,0
3,"soil_n",8,0.35603202378581,0
3,"soil_p",8,0.651112786677913,0
3,"clay_silt",8,0.236821285877118,0
4,"ph",8,-0.0522665193204217,0
4,"soil_c",8,0.724710454990891,0
4,"soil_n",8,-0.259065904904173,0
4,"soil_p",8,-0.0374903119710017,0
4,"clay_silt",8,0.635249794025565,0
2,"ph",8,-0.448308893073805,0
2,"soil_c",8,-0.644886609612691,0
2,"soil_n",8,0.276411974715659,0
2,"soil_p",8,-0.354177380237082,0
2,"clay_silt",8,0.425787741363436,0
5,"ph",8,-0.748052276163918,0
5,"soil_c",8,-0.164678726180109,0
5,"soil_n",8,0.223409399122764,0
5,"soil_p",8,0.418053055133786,0
5,"clay_silt",8,-0.43430242083897,0
1,"ph",8,0.141674278118724,0
1,"soil_c",8,-0.132957441473675,0
1,"soil_n",8,0.873142044113117,0
1,"soil_p",8,-0.441129099225674,0
1,"clay_silt",8,-0.0726553941192645,0
3,"ph",9,0.0913111491345796,0
3,"soil_c",9,-0.381047919884987,0
3,"soil_n",9,0.17261356052227,0
3,"soil_p",9,0.809911310755581,0
3,"clay_silt",9,0.400890239628066,0
4,"ph",9,-0.282806479829633,0
4,"soil_c",9,-0.872299226010287,0
4,"soil_n",9,0.173492251016899,0
4,"soil_p",9,-0.211273385811588,0
4,"clay_silt",9,0.290479862560251,0
2,"ph",9,0.433074488479234,0
2,"soil_c",9,-0.528070726278623,0
2,"soil_n",9,0.186600532039377,0
2,"soil_p",9,0.36622630606492,0
2,"clay_silt",9,-0.603859528089672,0
5,"ph",9,-0.449230329885773,0
5,"soil_c",9,-0.417981907391856,0
5,"soil_n",9,0.70736820147867,0
5,"soil_p",9,-0.0321612566811224,0
5,"clay_silt",9,-0.349398221102095,0
1,"ph",9,0.462791599411801,0
1,"soil_c",9,-0.0712293727837446,0
1,"soil_n",9,0.682056156359546,0
1,"soil_p",9,-0.499602453814567,0
1,"clay_silt",9,0.25680167382867,0
3,"ph",10,0.236279171947017,0
3,"soil_c",10,-0.262181682118684,0
3,"soil_n",10,0.22180967449355,0
3,"soil_p",10,0.696725148067446,0
3,"clay_silt",10,0.583787165683616,0
4,"ph",10,-0.564925696820544,0
4,"soil_c",10,-0.226367444490873,0
4,"soil_n",10,0.348387269782554,0
