"canonical_direction","var","fold","value","seed"
1,"ph",1,-0.934562749263725,0
1,"soil_c",1,0.348980476459023,0
1,"soil_n",1,-0.0572348239983672,0
1,"soil_p",1,0.0390654375018626,0
1,"clay_silt",1,-0.00177799148620146,0
4,"ph",1,0.545914624324575,0
4,"soil_c",1,0.763799259692662,0
4,"soil_n",1,0.229826333370568,0
4,"soil_p",1,0.0374595775473142,0
4,"clay_silt",1,0.253701695660311,0
3,"ph",1,-0.0887935287485095,0
3,"soil_c",1,-0.622121578088137,0
3,"soil_n",1,0.362209809393089,0
3,"soil_p",1,0.687998463400325,0
3,"clay_silt",1,-0.0232941981559207,0
2,"ph",1,-0.0588723304159283,0
2,"soil_c",1,-0.330850422122249,0
2,"soil_n",1,0.36924691333518,0
2,"soil_p",1,-0.416518242645506,0
2,"clay_silt",1,0.759763987978418,0
5,"ph",1,-0.0549610749763905,0
5,"soil_c",1,-0.348817261420693,0
5,"soil_n",1,0.799899556978471,0
5,"soil_p",1,-0.382005130670105,0
5,"clay_silt",1,-0.299229973865871,0
1,"ph",2,-0.95242734101624,0
1,"soil_c",2,0.300861066536496,0
1,"soil_n",2,-0.0141065395543045,0
1,"soil_p",2,0.0410849118761407,0
1,"clay_silt",2,0.0218589634975915,0
4,"ph",2,0.538479191188884,0
4,"soil_c",2,0.736412745775872,0
4,"soil_n",2,0.28690112495704,0
4,"soil_p",2,-0.0361595124350377,0
4,"clay_silt",2,0.29002872732585,0
3,"ph",2,-0.0308393853810921,0
3,"soil_c",2,-0.616249627101369,0
3,"soil_n",2,0.347997709567349,0
3,"soil_p",2,0.704866437284861,0
3,"clay_silt",2,-0.0366909952436162,0
2,"ph",2,-0.0858702105980603,0
2,"soil_c",2,-0.484170943627722,0
2,"soil_n",2,0.559540548515418,0
2,"soil_p",2,-0.431757789961843,0
2,"clay_silt",2,0.508629914233145,0
5,"ph",2,-0.0518264738066793,0
5,"soil_c",2,-0.284983307790057,0
5,"soil_n",2,0.750161391883867,0
5,"soil_p",2,-0.258678730272405,0
5,"clay_silt",2,-0.535202514498315,0
1,"ph",3,-0.912271639199466,0
1,"soil_c",3,0.385414739151243,0
1,"soil_n",3,-0.127798579021499,0
1,"soil_p",3,0.0504792283253244,0
1,"clay_silt",3,-0.0183113589081912,0
4,"ph",3,0.511456798279798,0
4,"soil_c",3,0.770949711826787,0
4,"soil_n",3,0.209351866623476,0
4,"soil_p",3,-0.0451737929988154,0
4,"clay_silt",3,0.313336256591762,0
3,"ph",3,-0.0761043274807161,0
3,"soil_c",3,-0.605058464719843,0
3,"soil_n",3,0.34002068411206,0
3,"soil_p",3,0.715747350560234,0
3,"clay_silt",3,0.0142846124044654,0
2,"ph",3,-0.136697928006994,0
2,"soil_c",3,-0.390201182770036,0
2,"soil_n",3,0.337141509556896,0
2,"soil_p",3,-0.408835694927707,0
2,"clay_silt",3,0.740436148854266,0
5,"ph",3,-0.056992699046472,0
5,"soil_c",3,-0.370411153228525,0
5,"soil_n",3,0.820527183836638,0
5,"soil_p",3,-0.313880093181187,0
5,"clay_silt",3,-0.296246244717123,0
1,"ph",4,-0.945871784764181,0
1,"soil_c",4,0.31558660253751,0
1,"soil_n",4,-0.0339798838909892,0
1,"soil_p",4,0.0675427775484924,0
1,"clay_silt",4,0.00387347100723609,0
4,"ph",4,0.553575028891593,0
4,"soil_c",4,0.681907415019526,0
4,"soil_n",4,0.309867500405369,0
4,"soil_p",4,0.118466727344185,0
