fold,cd,angle
1,1,0.9479148607192596
1,2,1.526818084338821
1,3,1.510436744889329
1,4,1.3960471179709415
2,1,0.9086337439480614
2,2,1.5278666850230886
2,3,1.5203508704773891
2,4,1.4038280340539324
3,1,0.9409153331760477
3,2,1.5296141366705547
3,3,1.5480259047094869
3,4,1.4004407208580747
4,1,0.9371592452603954
4,2,1.550788190083208
4,3,1.490615244444094
4,4,1.4194330003504276
5,1,0.9061282827696088
5,2,1.5334829743429652
5,3,1.5653349638922924
5,4,1.3888728837363238
6,1,0.9056834503894521
6,2,1.4906146962489717
6,3,1.5396598763594556
6,4,1.4187826907620813
7,1,0.9589777344572963
7,2,1.5326244974096104
7,3,1.4990370011835337
7,4,1.3922300343818435
8,1,0.9443414130454273
8,2,1.510921347260956
8,3,1.540117065715701
8,4,1.4124947086311037
9,1,0.8916152416066889
9,2,1.487526986156202
9,3,1.5482237566520425
9,4,1.4701408803062883
10,1,0.9291539356377619
10,2,1.4639514754790772
10,3,1.4995134607089233
10,4,1.4473947498950712
11,1,0.9487883106652064
11,2,1.498815454264496
11,3,1.5221575143048132
11,4,1.3972823809308064
12,1,0.9126738309624788
12,2,1.4941235249484444
12,3,1.5431757817826988
12,4,1.4414129259851558
13,1,0.9797092872408398
13,2,1.5045246560030416
13,3,1.52111152520728
13,4,1.3930485549474592
14,1,0.9181372889561493
14,2,1.5044781478514497
14,3,1.5199997254077229
14,4,1.4239826944620226
15,1,0.9343641798828997
15,2,1.4801633893435477
15,3,1.5129418642909893
15,4,1.414824621755405
