fold,j,evr,method,split
1,1,0.026828274294907584,CCA,train
1,1,0.01996131492965347,CCA,test
1,1,0.0475162535762029,PCA,train
1,1,0.03975241740762194,PCA,test
1,2,0.037895172215875746,CCA,train
1,2,0.02618062768914897,CCA,test
1,2,0.08525922635653928,PCA,train
1,2,0.05456326728134371,PCA,test
1,3,0.04516796409740074,CCA,train
1,3,0.02723241498561164,CCA,test
1,3,0.11392874393615478,PCA,train
1,3,0.07117216292626592,PCA,test
1,4,0.057069869422843346,CCA,train
1,4,0.029585970809487803,CCA,test
1,4,0.14063673707836025,PCA,train
1,4,0.0860574382705851,PCA,test
2,1,0.02730234542838592,CCA,train
2,1,0.017366835608788097,CCA,test
2,1,0.048177404317091756,PCA,train
2,1,0.032995310125175883,PCA,test
2,2,0.039375376124797024,CCA,train
2,2,0.02341388031451257,CCA,test
2,2,0.08550866111121133,PCA,train
2,2,0.05285870889614553,PCA,test
2,3,0.04691859581721966,CCA,train
2,3,0.028554882081571524,CCA,test
2,3,0.11455957514929309,PCA,train
2,3,0.06929701513412899,PCA,test
2,4,0.059086528705100394,CCA,train
2,4,0.03469490505246504,CCA,test
2,4,0.14091423251296878,PCA,train
2,4,0.08505099393614855,PCA,test
3,1,0.02634229472264048,CCA,train
3,1,0.02319524238010134,CCA,test
3,1,0.047105649791515644,PCA,train
3,1,0.04613316359785155,PCA,test
3,2,0.03774356735140264,CCA,train
3,2,0.028159483724274893,CCA,test
3,2,0.08345051687671066,PCA,train
3,2,0.07424213618500505,PCA,test
3,3,0.0450324771630969,CCA,train
3,3,0.031119839635484335,CCA,test
3,3,0.11254674972250979,PCA,train
3,3,0.08935098867483225,PCA,test
3,4,0.056764311731227826,CCA,train
3,4,0.037929932683577375,CCA,test
3,4,0.139207103074408,PCA,train
3,4,0.0995051638381212,PCA,test
4,1,0.026841878471560006,CCA,train
4,1,0.017633442991240755,CCA,test
4,1,0.04915001094695621,PCA,train
4,1,0.023680610827585907,PCA,test
4,2,0.038248183021425165,CCA,train
4,2,0.02328678769896921,CCA,test
4,2,0.08563831813696028,PCA,train
4,2,0.0489029806109497,PCA,test
4,3,0.04585107863557887,CCA,train
4,3,0.02544382116563672,CCA,test
4,3,0.11513599258870562,PCA,train
4,3,0.05956185441686035,PCA,test
4,4,0.05726102444872449,CCA,train
4,4,0.028620359076348,CCA,test
4,4,0.14258788850197893,PCA,train
4,4,0.06620788927317423,PCA,test
5,1,0.02867284329288879,CCA,train
5,1,0.028525524974551887,CCA,test
5,1,0.04760050293536718,PCA,train
5,1,0.04111899816882934,PCA,test
5,2,0.040290337259569486,CCA,train
5,2,0.03324503079296146,CCA,test
5,2,0.08424300490946168,PCA,train
5,2,0.06576820570622978,PCA,test
5,3,0.04795346947130456,CCA,train
5,3,0.03536745124383041,CCA,test
5,3,0.1135086679036605,PCA,train
5,3,0.07842334705719149,PCA,test
5,4,0.060269057663675886,CCA,train
5,4,0.043674734731908846,CCA,test
5,4,0.14030858923944084,PCA,train
5,4,0.08726086716642545,PCA,test
6,1,0.02733891516050218,CCA,train
6,1,0.020266440720659414,CCA,test
6,1,0.04789688946497596,PCA,train
6,1,0.03447564396125278,PCA,test
6,2,0.03868848119875815,CCA,train
6,2,0.025345726672968926,CCA,test
6,2,0.08402179485385886,PCA,train
6,2,0.06482319280874937,PCA,test
6,3,0.04580437288173198,CCA,train
6,3,0.028280721497040487,CCA,test
6,3,0.11284249004648081,PCA,train
6,3,0.07986135120269701,PCA,test
6,4,0.05781044529051802,CCA,train
6,4,0.034013626824591886,CCA,test
6,4,0.14004967056955217,PCA,train
6,4,0.08937361678349429,PCA,test
7,1,0.025880486866584538,CCA,train
7,1,0.025394622323635,CCA,test
7,1,0.04815079540383825,PCA,train
7,1,0.03181239069854223,PCA,test
7,2,0.03712506827307063,CCA,train
7,2,0.031745899763914474,CCA,test
7,2,0.08420352379134406,PCA,train
7,2,0.06415155912244547,PCA,test
7,3,0.04442996481160102,CCA,train
7,3,0.03419412813186008,CCA,test
7,3,0.11283382880979305,PCA,train
7,3,0.08143700010134021,PCA,test
7,4,0.05637477921297111,CCA,train
7,4,0.03818508006467568,CCA,test
7,4,0.13982157337561124,PCA,train
7,4,0.09128467258132444,PCA,test
8,1,0.0264882197134596,CCA,train
8,1,0.02160504263094803,CCA,test
8,1,0.04840667051396919,PCA,train
8,1,0.02861329219307202,PCA,test
8,2,0.038162829013637906,CCA,train
8,2,0.025308995331695738,CCA,test
8,2,0.08532240026663568,PCA,train
8,2,0.04916520560032122,PCA,test
8,3,0.04573396130638905,CCA,train
8,3,0.028736399188832366,CCA,test
8,3,0.11478557161199035,PCA,train
8,3,0.058019483658065855,PCA,test
8,4,0.05719100262297169,CCA,train
8,4,0.033510746366096814,CCA,test
8,4,0.14124907611317314,PCA,train
8,4,0.07126189893715718,PCA,test
9,1,0.027718852963827607,CCA,train
9,1,0.008475223344586204,CCA,test
9,1,0.048874002412166245,PCA,train
9,1,0.0221410490313731,PCA,test
9,2,0.039563703750941634,CCA,train
9,2,0.011340823691865464,CCA,test
9,2,0.08507952081007306,PCA,train
9,2,0.052904880790688225,PCA,test
9,3,0.04665278692769969,CCA,train
9,3,0.01650579433721734,CCA,test
9,3,0.11469811034589819,PCA,train
9,3,0.0611055459191854,PCA,test
9,4,0.05775913656074651,CCA,train
9,4,0.026485745752972835,CCA,test
9,4,0.14019820511081857,PCA,train
9,4,0.08313140986879375,PCA,test
10,1,0.026639087027505573,CCA,train
10,1,0.019774459724824264,CCA,test
10,1,0.04798359162577882,PCA,train
10,1,0.03508145340031552,PCA,test
10,2,0.038668275019328575,CCA,train
10,2,0.023686640302474072,CCA,test
10,2,0.08476839313392814,PCA,train
10,2,0.05671771936289683,PCA,test
10,3,0.04642271715840345,CCA,train
10,3,0.026510229425306016,CCA,test
10,3,0.11411040069031064,PCA,train
10,3,0.06875406694886653,PCA,test
10,4,0.057745117731137226,CCA,train
10,4,0.033812354373454805,CCA,test
10,4,0.13908780285280503,PCA,train
10,4,0.09696934359118338,PCA,test
11,1,0.026927156887971464,CCA,train
11,1,0.02605427266664297,CCA,test
11,1,0.047605812024853394,PCA,train
11,1,0.04101058969990242,PCA,test
11,2,0.03835088548982115,CCA,train
11,2,0.03280905290958452,CCA,test
11,2,0.08405071036126024,PCA,train
11,2,0.06873454497002879,PCA,test
11,3,0.0454180757484872,CCA,train
11,3,0.03621370443433901,CCA,test
11,3,0.1130335458358826,PCA,train
11,3,0.0824352847081773,PCA,test
11,4,0.05723708602120033,CCA,train
11,4,0.038547783792481576,CCA,test
11,4,0.13967133966235887,PCA,train
11,4,0.09409813914202138,PCA,test
12,1,0.027007505317011002,CCA,train
12,1,0.014260194283968915,CCA,test
12,1,0.04863600102622848,PCA,train
12,1,0.02593732277132354,PCA,test
12,2,0.038717431501043904,CCA,train
12,2,0.018512141251392552,CCA,test
12,2,0.08536636478158287,PCA,train
12,2,0.049163623425079836,PCA,test
12,3,0.04643287790417412,CCA,train
12,3,0.021807323684319136,CCA,test
12,3,0.11480349735750983,PCA,train
12,3,0.059877339104406305,PCA,test
12,4,0.057645764763605674,CCA,train
12,4,0.031022906865631045,CCA,test
12,4,0.14059838572580768,PCA,train
12,4,0.08099084743868395,PCA,test
13,1,0.0257515125092627,CCA,train
13,1,0.031781025446494915,CCA,test
13,1,0.047560752037555734,PCA,train
13,1,0.04065405245432536,PCA,test
13,2,0.03747792665796299,CCA,train
13,2,0.036545322705122264,CCA,test
13,2,0.08316894032107039,PCA,train
13,2,0.08011170501760233,PCA,test
13,3,0.04564681091768024,CCA,train
13,3,0.039831884254825804,CCA,test
13,3,0.11251357620413938,PCA,train
13,3,0.0900784031185486,PCA,test
13,4,0.05704494088047098,CCA,train
13,4,0.045412833314762806,CCA,test
13,4,0.13871228376728012,PCA,train
13,4,0.10881954806768565,PCA,test
14,1,0.027589025221233198,CCA,train
14,1,0.01852010222902574,CCA,test
14,1,0.04901973361575451,PCA,train
14,1,0.020003126497009534,PCA,test
14,2,0.03910714763277289,CCA,train
14,2,0.02307895966795009,CCA,test
