fold,cd,null_mean,null_sd
1,1,1.5520483228634416,0.014395500934259231
1,2,1.5491024371591295,0.015896290844351176
1,3,1.5515875971827302,0.013752336971135608
1,4,1.5493002189105072,0.014446902414841752
2,1,1.5517614083267401,0.012983528141475062
2,2,1.5480852555789686,0.016031955361605715
2,3,1.5448426343729211,0.016575865016481676
2,4,1.5527627661811192,0.013230678242522121
3,1,1.5523695017342296,0.013887609312336496
3,2,1.5498154631882894,0.015897297880327815
3,3,1.5503115461651356,0.015946476891736578
3,4,1.5492585472486746,0.013628317922546993
4,1,1.552461280140726,0.013993684313825824
4,2,1.5433706266367218,0.020255625008469034
4,3,1.5514667749708397,0.014892005809417186
4,4,1.5460567065493271,0.016641106671820557
5,1,1.5501166437219558,0.01379012990688236
5,2,1.545377711624307,0.01613895726225324
5,3,1.5479628522693363,0.016345916080845315
5,4,1.549029798851336,0.017640362558655802
6,1,1.5523521021426683,0.01305812402744161
6,2,1.5465203232419418,0.018165294656392578
6,3,1.5524037461858906,0.01271102058437354
6,4,1.5536271767411372,0.013621695030534136
7,1,1.5510740610661788,0.014526919934055294
7,2,1.5433298552994277,0.016369047559845733
7,3,1.5524228197257084,0.014625941402550567
7,4,1.5522658722706677,0.01504485019841523
8,1,1.5538807488546234,0.013120153366784982
8,2,1.5446514892107603,0.017105535083755046
8,3,1.543639619604569,0.0165767426716602
8,4,1.5524653551751881,0.013293546222749562
9,1,1.5522012182161256,0.012664079728961608
9,2,1.5450380049744634,0.018462648161424386
9,3,1.5534319216950727,0.013601161457626885
9,4,1.5512620594753357,0.01694057643298179
10,1,1.552484361275162,0.012213913390930574
10,2,1.5460828550444432,0.017971195524701885
10,3,1.5519544079853813,0.014589067726011531
10,4,1.5530625300489824,0.012549058203247932
11,1,1.5505087040576593,0.013935919533590354
11,2,1.5468998990751581,0.017233890045809667
11,3,1.5510339311522896,0.013873646072634692
11,4,1.5523533478329576,0.01164911953652337
12,1,1.550580928635471,0.015133909904381107
12,2,1.5466714449096652,0.017402756917581277
12,3,1.5384903243139905,0.01917168245108123
12,4,1.548933541243369,0.01594328667901596
13,1,1.5531456129081704,0.013453653244642386
13,2,1.545316407290238,0.017633699741072508
13,3,1.5388166012461988,0.01946943951328563
13,4,1.5491459725518337,0.014183367000290463
14,1,1.5531415062616363,0.013089752981350579
14,2,1.5487839098073979,0.01678147496532285
14,3,1.5507735296083436,0.015283595130047631
14,4,1.5540721527733055,0.012008911618047562
15,1,1.5533645493801709,0.013403971264652618
15,2,1.5477469848140466,0.01559683997272418
15,3,1.5537804714015522,0.013147134577856448
15,4,1.552944172616643,0.013954614602904099
